Alt,u,v,temp,bv2
19101.000,-2.017,-0.276,-0.671,0.002
19106.000,-1.933,-0.160,-0.671,-0.144
19111.000,-1.934,-0.155,-0.572,-0.169
19116.000,-1.935,-0.150,-0.573,0.002
19121.000,-1.937,-0.145,-0.573,0.002
19126.000,-1.938,-0.141,-0.574,0.003
19131.000,-1.939,-0.136,-0.574,0.002
19136.000,-1.941,-0.130,-0.575,-0.168
19141.000,-2.021,-0.064,-0.476,-0.203
19146.000,-1.934,0.052,-0.476,0.003
19151.000,-1.935,0.058,-0.477,0.003
19156.000,-1.936,0.063,-0.478,0.003
19161.000,-1.937,0.068,-0.478,0.003
19166.000,-1.937,0.073,-0.479,0.003
19171.000,-1.938,0.078,-0.479,0.003
19176.000,-1.937,0.083,-0.480,0.003
19181.000,-1.848,0.197,-0.481,0.003
19186.000,-1.755,0.309,-0.481,-0.201
19191.000,-1.661,0.420,-0.382,-0.253
19196.000,-1.565,0.529,-0.383,0.004
19201.000,-1.467,0.636,-0.384,0.004
19206.000,-1.367,0.742,-0.384,0.004
19211.000,-1.436,0.817,-0.385,0.004
19217.000,-1.333,0.922,-0.386,0.004
19222.000,-1.228,1.026,-0.387,0.004
19227.000,-1.120,1.127,-0.387,0.004
19232.000,-1.011,1.227,-0.388,0.004
19237.000,-0.901,1.325,-0.389,0.004
19242.000,-0.788,1.421,-0.389,0.005
19247.000,-0.785,1.426,-0.390,0.004
19252.000,-0.671,1.520,-0.391,0.004
19258.000,-0.555,1.611,-0.392,0.004
19263.000,-0.496,1.782,-0.393,0.005
19268.000,-0.376,1.871,-0.394,-0.245
19273.000,-0.254,1.957,-0.294,-0.327
19278.000,-0.307,2.045,-0.295,0.006
19283.000,-0.127,2.046,-0.296,0.006
19288.000,-0.003,2.128,-0.297,0.006
19293.000,0.299,2.194,-0.298,0.005
19299.000,0.377,2.356,-0.299,0.005
19304.000,0.507,2.429,-0.299,0.005
19309.000,0.684,2.411,-0.300,0.006
19314.000,0.815,2.478,-0.301,0.005
19319.000,0.947,2.543,-0.302,-0.320
19324.000,1.080,2.606,-0.202,-0.477
19329.000,1.214,2.667,-0.203,0.009
19334.000,1.349,2.725,-0.204,0.008
19340.000,1.521,2.688,-0.205,0.007
19345.000,1.789,2.788,-0.205,0.008
19350.000,1.926,2.836,-0.206,0.008
19355.000,2.063,2.882,-0.207,0.007
19360.000,2.201,2.926,-0.208,-0.465
19365.000,2.365,2.871,-0.108,-0.975
19371.000,2.503,2.909,-0.109,0.012
19376.000,2.640,2.946,-0.110,0.012
19381.000,2.778,2.979,-0.110,0.012
19386.000,2.936,2.913,-0.111,0.011
19391.000,2.975,2.720,-0.112,0.011
19397.000,2.995,2.625,-0.112,0.011
19402.000,3.016,2.530,-0.113,-0.858
19407.000,3.162,2.459,-0.013,-7.197
19412.000,3.198,2.265,-0.014,0.070
19418.000,3.216,2.170,-0.015,0.080
19423.000,3.234,2.075,-0.015,0.082
19428.000,3.386,1.901,-0.016,0.072
19433.000,3.403,1.805,-0.016,0.065
19439.000,3.419,1.710,-0.017,0.055
19444.000,3.547,1.630,-0.017,0.052
19449.000,3.562,1.534,-0.018,0.052
19454.000,3.590,1.339,-0.018,0.047
19460.000,3.710,1.256,-0.019,0.039
19465.000,3.723,1.160,-0.019,0.036
19470.000,3.839,1.075,-0.020,0.037
19475.000,3.860,0.879,-0.020,-3.694
19481.000,3.871,0.782,0.080,0.926
19486.000,3.978,0.694,0.079,-0.005
19491.000,3.800,0.577,0.079,-0.007
19496.000,3.708,0.567,0.079,-0.009
19502.000,3.631,0.457,0.078,-0.007
19507.000,3.469,0.329,0.078,-0.006
19512.000,3.292,0.294,0.078,-0.006
19517.000,3.229,0.178,0.078,-0.006
19523.000,3.086,0.038,0.077,-0.005
19528.000,2.920,-0.011,0.077,-0.005
19533.000,2.790,-0.160,0.077,-0.003
19539.000,2.631,-0.220,0.077,-0.003
19544.000,2.515,-0.377,0.077,-0.003
19549.000,2.408,-0.536,0.077,-0.001
19555.000,2.263,-0.610,0.077,0.001
19560.000,2.170,-0.775,0.077,0.001
19565.000,2.086,-0.942,0.077,0.000
19571.000,1.955,-1.027,0.077,0.000
19576.000,1.885,-1.198,0.077,0.001
19581.000,1.766,-1.416,0.077,0.001
19587.000,1.652,-1.512,0.077,-0.001
19592.000,1.609,-1.686,0.077,-0.003
19597.000,1.433,-1.717,0.076,-0.003
19603.000,1.329,-1.825,0.076,-0.003
19608.000,1.204,-1.814,0.076,-0.001
19613.000,1.026,-1.866,0.076,0.001
19619.000,0.927,-1.989,0.076,0.001
19624.000,0.799,-1.992,0.076,1.289
19629.000,0.704,-2.122,0.176,0.608
19635.000,0.575,-2.134,0.176,0.001
19640.000,0.400,-2.220,0.176,0.001
19645.000,0.356,-2.292,0.176,0.001
19651.000,0.183,-2.391,0.176,0.001
19656.000,0.141,-2.467,0.176,0.001
19661.000,0.010,-2.500,0.176,0.001
19667.000,-0.159,-2.616,0.176,0.001
19672.000,-0.198,-2.699,0.176,0.001
19677.000,-0.329,-2.744,0.176,0.001
19683.000,-0.366,-2.830,0.176,0.001
19688.000,-0.496,-2.881,0.177,0.001
19694.000,-0.562,-3.058,0.177,0.002
19700.000,-0.690,-3.117,0.177,0.002
19705.000,-0.883,-3.058,0.177,0.001
19711.000,-1.172,-2.969,0.177,0.001
19716.000,-1.332,-2.809,0.177,0.001
19722.000,-1.525,-2.747,0.177,0.001
19728.000,-1.719,-2.685,0.177,0.001
19733.000,-1.912,-2.623,0.177,0.001
19739.000,-2.106,-2.562,0.177,0.001
19744.000,-2.300,-2.500,0.177,0.001
19750.000,-2.494,-2.438,0.177,0.001
19756.000,-2.783,-2.343,0.178,0.001
19761.000,-2.977,-2.281,0.177,0.000
19767.000,-3.171,-2.219,0.177,-0.603
19772.000,-3.366,-2.157,0.077,-1.384
19778.000,-3.561,-2.094,0.077,-0.003
19784.000,-3.756,-2.032,0.077,-0.004
19789.000,-3.951,-1.969,0.077,-0.004
19795.000,-4.240,-1.874,0.077,-0.003
19800.000,-4.435,-1.810,0.077,-0.005
19806.000,-4.631,-1.747,0.076,-0.008
19812.000,-4.826,-1.684,0.076,-0.010
19817.000,-4.776,-1.526,0.075,-0.010
19823.000,-4.782,-1.527,0.075,-0.010
19828.000,-4.729,-1.370,0.074,-1.008
19834.000,-4.766,-1.176,-0.026,3.176
19840.000,-4.773,-1.177,-0.026,0.029
19845.000,-4.714,-1.019,-0.027,0.033
19851.000,-4.720,-1.020,-0.027,0.043
19856.000,-4.659,-0.864,-0.028,0.045
19862.000,-4.685,-0.666,-0.029,0.040
19868.000,-4.692,-0.666,-0.029,0.048
19873.000,-4.624,-0.509,-0.030,2.508
19879.000,-4.643,-0.309,-0.131,0.578
19884.000,-4.649,-0.308,-0.132,0.012
19890.000,-4.575,-0.153,-0.133,0.013
19895.000,-4.582,-0.151,-0.134,0.013
19901.000,-4.593,0.052,-0.135,0.807
19906.000,-4.513,0.207,-0.236,0.462
19912.000,-4.519,0.208,-0.237,0.009
19917.000,-4.522,0.414,-0.238,0.009
19923.000,-4.529,0.416,-0.239,0.009
19928.000,-4.443,0.571,-0.240,0.009
19934.000,-4.354,0.724,-0.241,0.347
19940.000,-4.360,0.727,-0.343,0.224
19945.000,-4.269,0.878,-0.344,0.007
19951.000,-4.175,1.029,-0.345,0.008
19956.000,-4.078,1.177,-0.347,0.008
19962.000,-4.085,1.181,-0.348,0.008
19967.000,-3.986,1.328,-0.350,0.009
19973.000,-3.884,1.474,-0.351,0.313
19978.000,-3.890,1.478,-0.453,0.243
19984.000,-3.785,1.623,-0.454,0.007
19989.000,-3.678,1.765,-0.456,0.007
19995.000,-3.568,1.906,-0.458,0.007
20001.000,-3.573,1.911,-0.459,0.007
20006.000,-3.461,2.050,-0.461,0.008
20012.000,-3.345,2.188,-0.463,0.008
20017.000,-3.350,2.194,-0.465,0.008
20022.000,-3.305,2.399,-0.467,0.008
20028.000,-3.183,2.534,-0.469,0.236
20033.000,-3.188,2.541,-0.571,0.194
20039.000,-2.994,2.602,-0.573,0.007
20044.000,-2.869,2.732,-0.575,0.008
20049.000,-2.805,2.667,-0.577,0.007
20055.000,-2.612,2.720,-0.579,0.007
20060.000,-2.615,2.728,-0.581,0.008
20065.000,-2.422,2.777,-0.583,0.007
20071.000,-2.294,2.898,-0.585,0.007
20076.000,-2.233,2.830,-0.588,0.007
20082.000,-2.041,2.870,-0.590,0.007
20087.000,-1.912,2.984,-0.592,0.008
20092.000,-1.853,2.914,-0.594,-0.118
20098.000,-1.723,3.024,-0.497,-0.141
20103.000,-1.532,3.052,-0.499,0.009
20109.000,-1.535,3.061,-0.501,0.009
20114.000,-1.345,3.084,-0.504,0.009
20119.000,-1.212,3.185,-0.506,0.008
20125.000,-1.158,3.111,-0.508,0.008
20130.000,-1.025,3.209,-0.510,0.009
20135.000,-0.837,3.219,-0.512,0.008
20141.000,-0.839,3.227,-0.515,0.008
20146.000,-0.652,3.234,-0.517,0.008
20152.000,-0.602,3.156,-0.519,0.008
20157.000,-0.418,3.157,-0.521,-0.180
20162.000,-0.236,3.153,-0.423,-0.243
20168.000,-0.188,3.074,-0.425,0.009
20173.000,0.038,2.977,-0.427,0.010
20178.000,0.084,2.896,-0.430,0.009
20184.000,0.259,2.882,-0.432,0.009
20189.000,0.304,2.801,-0.434,-0.217
20194.000,0.476,2.783,-0.335,-0.280
20199.000,0.645,2.761,-0.337,0.012
20204.000,0.687,2.678,-0.339,0.011
20210.000,0.853,2.652,-0.341,0.010
20215.000,1.017,2.622,-0.343,0.011
20220.000,1.056,2.538,-0.345,-0.273
20225.000,1.216,2.504,-0.247,-0.382
20230.000,1.374,2.467,-0.249,0.014
20236.000,1.529,2.427,-0.251,0.013
20241.000,1.683,2.383,-0.253,0.014
20246.000,1.683,2.391,-0.254,0.014
20251.000,1.717,2.305,-0.256,0.013
20257.000,1.866,2.258,-0.258,0.013
20262.000,1.898,2.172,-0.260,0.014
20267.000,1.931,2.085,-0.262,0.013
20272.000,1.963,1.999,-0.263,-0.360
20277.000,1.996,1.913,-0.165,-0.630
20283.000,2.028,1.827,-0.167,0.018
20288.000,2.030,1.836,-0.168,0.019
20293.000,2.063,1.750,-0.170,0.018
20298.000,2.096,1.665,-0.171,0.018
20303.000,2.129,1.579,-0.173,0.017
20309.000,2.162,1.494,-0.174,0.017
20314.000,2.195,1.409,-0.176,0.018
20319.000,2.229,1.323,-0.178,0.018
20324.000,2.262,1.238,-0.179,0.018
20329.000,2.390,1.183,-0.181,0.017
20335.000,2.393,1.194,-0.183,-0.569
20340.000,2.424,1.108,-0.084,-1.126
20345.000,2.456,1.023,-0.086,0.037
20350.000,2.487,0.937,-0.087,0.036
20355.000,2.580,0.975,-0.089,0.036
20360.000,2.610,0.889,-0.091,0.033
20366.000,2.702,0.924,-0.092,0.032
20371.000,2.704,0.935,-0.094,0.033
20376.000,2.820,0.872,-0.095,0.033
20381.000,2.911,0.903,-0.097,0.033
20386.000,2.913,0.914,-0.099,0.032
20391.000,3.004,0.944,-0.100,-0.712
20397.000,3.115,0.875,-0.002,-40.537
20402.000,3.117,0.886,-0.003,0.920
20407.000,3.207,0.913,-0.005,0.634
20412.000,3.298,0.938,-0.006,0.465
20417.000,3.403,0.863,-0.008,0.367
20422.000,3.406,0.874,-0.009,0.314
20427.000,3.495,0.896,-0.011,0.254
20433.000,3.585,0.917,-0.012,0.215
20438.000,3.599,0.828,-0.014,-6.880
20443.000,3.688,0.848,0.085,1.126
20448.000,3.777,0.865,0.083,-0.030
20453.000,3.866,0.882,0.082,-0.029
20458.000,3.792,0.788,0.081,-0.028
20464.000,3.804,0.700,0.080,-0.029
20469.000,3.735,0.605,0.078,-0.033
20474.000,3.758,0.418,0.077,-0.032
20479.000,3.697,0.322,0.076,-0.031
20484.000,3.640,0.226,0.075,-0.032
20489.000,3.657,0.139,0.073,-0.034
20494.000,3.606,0.042,0.072,1.327
20499.000,3.558,-0.055,0.171,0.561
20504.000,3.514,-0.153,0.170,-0.012
20509.000,3.537,-0.240,0.169,-0.011
20515.000,3.498,-0.338,0.168,-0.012
20520.000,3.463,-0.436,0.167,-0.012
20525.000,3.431,-0.535,0.165,-0.012
20530.000,3.404,-0.634,0.164,-0.012
20535.000,3.380,-0.734,0.163,-0.012
20540.000,3.307,-0.849,0.162,0.593
20545.000,3.292,-0.949,0.261,0.369
20550.000,3.281,-1.049,0.261,-0.006
20555.000,3.227,-1.166,0.260,-0.007
20560.000,3.104,-1.099,0.259,-0.006
20565.000,2.928,-1.062,0.258,-0.007
20570.000,2.746,-1.036,0.257,-0.006
20575.000,2.658,-1.080,0.256,-0.006
20580.000,2.518,-1.043,0.255,-0.005
20585.000,2.374,-1.013,0.255,0.380
20590.000,2.179,-1.027,0.354,0.299
20596.000,2.029,-1.015,0.353,-0.003
20601.000,1.923,-0.969,0.352,-0.004
20606.000,1.837,-1.043,0.352,-0.004
20611.000,1.682,-1.049,0.351,-0.003
20616.000,1.527,-1.063,0.350,-0.004
20621.000,1.415,-1.035,0.349,-0.003
20626.000,1.256,-1.063,0.349,0.277
20631.000,1.142,-1.044,0.448,0.217
20636.000,1.026,-1.028,0.448,-0.002
20641.000,0.945,-1.135,0.447,-0.002
20646.000,0.829,-1.128,0.446,-0.002
20651.000,0.711,-1.124,0.446,-0.002
20657.000,0.593,-1.123,0.445,-0.002
20662.000,0.474,-1.127,0.445,-0.003
20667.000,0.397,-1.064,0.444,-0.002
20672.000,0.277,-1.073,0.443,-0.002
20677.000,0.200,-1.012,0.443,-0.002
20682.000,-0.009,-0.977,0.442,-0.003
20687.000,-0.087,-0.917,0.441,-0.002
20693.000,-0.210,-0.939,0.441,-0.002
20698.000,-0.289,-0.881,0.440,-0.003
20703.000,-0.368,-0.823,0.439,-0.003
20708.000,-0.493,-0.852,0.439,-0.003
20713.000,-0.572,-0.797,0.438,-0.003
20718.000,-0.787,-0.786,0.437,-0.003
20723.000,-0.866,-0.732,0.436,-0.003
20729.000,-0.946,-0.678,0.436,-0.002
20734.000,-1.073,-0.721,0.435,-0.003
20739.000,-1.153,-0.669,0.434,-0.003
20744.000,-1.234,-0.617,0.433,-0.003
20749.000,-1.404,-0.522,0.433,-0.004
20754.000,-1.534,-0.575,0.432,-0.003
20759.000,-1.615,-0.525,0.431,-0.003
20765.000,-1.464,-0.453,0.430,-0.003
20770.000,-1.454,-0.445,0.429,-0.003
20775.000,-1.303,-0.378,0.428,-0.003
20780.000,-1.293,-0.370,0.428,-0.004
20785.000,-1.230,-0.260,0.427,-0.004
20790.000,-1.132,-0.299,0.426,-0.004
20795.000,-1.068,-0.191,0.425,-0.004
20801.000,-0.916,-0.135,0.424,-0.004
20806.000,-0.907,-0.127,0.423,-0.004
20811.000,-0.755,-0.075,0.421,-0.005
20816.000,-0.688,0.026,0.420,-0.005
20821.000,-0.679,0.033,0.419,0.229
20826.000,-0.526,0.078,0.518,0.186
20831.000,-0.517,0.084,0.517,-0.003
20837.000,-0.366,0.125,0.516,-0.004
20842.000,-0.296,0.219,0.515,-0.004
20847.000,-0.226,0.312,0.514,-0.004
20852.000,-0.136,0.259,0.512,-0.004
20857.000,-0.066,0.349,0.511,-0.004
20862.000,0.006,0.437,0.510,-0.005
20867.000,0.093,0.381,0.508,-0.004
20873.000,0.165,0.468,0.507,-0.005
20878.000,0.239,0.552,0.506,-0.005
20883.000,0.389,0.571,0.504,-0.005
20888.000,0.464,0.652,0.503,-0.005
20893.000,0.540,0.731,0.501,-0.005
20898.000,0.617,0.810,0.500,-0.006
20903.000,0.624,0.815,0.498,0.144
20909.000,0.702,0.892,0.597,0.120
20914.000,0.781,0.967,0.595,-0.005
20919.000,0.861,1.042,0.593,-0.005
20924.000,1.009,1.040,0.592,-0.005
20929.000,1.089,1.111,0.590,-0.005
20934.000,1.171,1.180,0.589,-0.005
20939.000,1.316,1.170,0.587,-0.005
20945.000,1.399,1.236,0.585,0.178
20950.000,1.482,1.300,0.684,0.139
20955.000,1.566,1.362,0.682,-0.004
20960.000,1.651,1.424,0.680,-0.004
20965.000,1.657,1.428,0.678,-0.004
20970.000,1.743,1.489,0.677,-0.005
20975.000,1.748,1.494,0.675,-0.005
20980.000,1.753,1.499,0.673,-0.005
20985.000,1.840,1.558,0.671,0.141
20990.000,1.790,1.647,0.769,0.123
20995.000,1.795,1.652,0.768,-0.004
21000.000,1.884,1.710,0.766,-0.004
21006.000,1.889,1.716,0.764,-0.004
21011.000,1.893,1.721,0.762,-0.004
21016.000,1.983,1.779,0.760,-0.005
21021.000,1.987,1.784,0.758,-0.005
21026.000,1.940,1.876,0.756,-0.005
21031.000,2.031,1.934,0.754,0.125
21036.000,2.035,1.940,0.852,0.111
21041.000,2.039,1.947,0.850,-0.005
21046.000,2.131,2.003,0.848,-0.004
21051.000,2.135,2.010,0.845,-0.005
21056.000,2.138,2.016,0.843,-0.005
