Alt,u,v,temp,bv2,lat,long
21212.000,2.235,-0.552,0.775,0.000,46.969,-116.692
21217.000,2.160,-0.677,0.773,0.001,46.969,-116.692
21222.000,2.127,-0.740,0.770,0.001,46.969,-116.692
21227.000,2.058,-0.869,0.768,0.001,46.969,-116.692
21233.000,2.029,-0.935,0.766,0.000,46.969,-116.692
21238.000,1.968,-1.068,0.663,-0.000,46.969,-116.692
21243.000,1.942,-1.135,0.661,0.001,46.969,-116.692
21248.000,1.979,-1.311,0.659,0.001,46.969,-116.692
21254.000,1.957,-1.378,0.656,0.000,46.969,-116.692
21259.000,1.910,-1.515,0.654,0.001,46.969,-116.692
21264.000,1.892,-1.583,0.652,0.001,46.969,-116.692
21269.000,1.852,-1.723,0.649,0.000,46.969,-116.692
21275.000,1.837,-1.793,0.547,0.000,46.969,-116.692
21280.000,1.842,-1.793,0.544,0.000,46.969,-116.692
21285.000,1.751,-1.765,0.542,0.001,46.969,-116.692
21290.000,1.756,-1.765,0.539,0.001,46.969,-116.692
21296.000,1.762,-1.765,0.537,0.001,46.969,-116.692
21301.000,1.671,-1.738,0.535,0.000,46.969,-116.692
21306.000,1.697,-1.664,0.432,-0.000,46.969,-116.692
21312.000,1.606,-1.635,0.429,0.001,46.969,-116.693
21317.000,1.611,-1.636,0.427,0.001,46.969,-116.693
21322.000,1.616,-1.636,0.424,0.001,46.969,-116.693
21327.000,1.525,-1.607,0.422,0.001,46.969,-116.693
21333.000,1.529,-1.608,0.419,0.000,46.969,-116.693
21338.000,1.438,-1.579,0.416,0.000,46.969,-116.693
21343.000,1.467,-1.501,0.314,0.000,46.969,-116.693
21349.000,1.470,-1.502,0.311,0.001,46.969,-116.693
21354.000,1.379,-1.471,0.308,0.001,46.969,-116.693
21359.000,1.383,-1.471,0.306,0.000,46.969,-116.693
21364.000,1.386,-1.472,0.303,0.001,46.969,-116.693
21370.000,1.295,-1.441,0.300,0.001,46.969,-116.693
21375.000,1.298,-1.441,0.297,0.000,46.969,-116.693
21380.000,1.206,-1.411,0.295,0.001,46.969,-116.693
21386.000,1.209,-1.411,0.292,0.000,46.969,-116.694
21391.000,1.090,-1.465,0.189,0.000,46.969,-116.694
21396.000,0.997,-1.435,0.186,0.001,46.969,-116.694
21402.000,0.877,-1.495,0.183,0.000,46.969,-116.694
21407.000,0.783,-1.467,0.180,0.001,46.970,-116.694
21412.000,0.760,-1.558,0.177,0.001,46.970,-116.694
21417.000,0.666,-1.532,0.174,0.001,46.970,-116.694
21423.000,0.547,-1.600,0.171,0.001,46.970,-116.694
21428.000,0.451,-1.576,0.168,0.000,46.970,-116.694
21433.000,0.356,-1.551,0.165,0.001,46.970,-116.694
21439.000,0.236,-1.627,0.162,0.001,46.970,-116.694
21444.000,0.237,-1.626,0.159,0.000,46.970,-116.694
21450.000,0.119,-1.706,0.156,0.001,46.970,-116.694
21455.000,0.022,-1.684,0.152,0.001,46.970,-116.694
21461.000,-0.075,-1.663,0.149,0.001,46.970,-116.695
21466.000,-0.193,-1.749,0.146,0.000,46.970,-116.695
21472.000,-0.192,-1.748,0.043,-0.000,46.970,-116.695
21477.000,-0.289,-1.728,0.040,0.001,46.970,-116.695
21483.000,-0.407,-1.819,0.036,0.001,46.970,-116.695
21488.000,-0.505,-1.801,0.033,0.001,46.970,-116.695
21494.000,-0.385,-1.706,0.030,0.001,46.970,-116.695
21500.000,-0.286,-1.724,0.027,0.000,46.970,-116.695
21505.000,-0.165,-1.634,0.123,0.001,46.970,-116.695
21511.000,-0.141,-1.525,0.120,0.001,46.970,-116.695
21516.000,-0.043,-1.546,0.116,0.001,46.970,-116.695
21522.000,0.080,-1.464,0.113,0.001,46.970,-116.695
21527.000,0.204,-1.385,0.110,0.000,46.970,-116.695
21533.000,0.232,-1.283,0.106,0.001,46.970,-116.695
21538.000,0.358,-1.210,0.103,0.001,46.970,-116.695
21544.000,0.389,-1.110,0.100,0.001,46.970,-116.696
21549.000,0.485,-1.139,0.096,0.001,46.970,-116.696
21555.000,0.612,-1.074,0.093,0.000,46.970,-116.696
21560.000,0.740,-1.013,0.089,0.001,46.970,-116.696
21566.000,0.774,-0.920,0.086,0.001,46.970,-116.696
21571.000,0.997,-0.902,0.083,0.001,46.970,-116.696
21577.000,1.034,-0.813,0.079,0.001,46.970,-116.696
21582.000,1.164,-0.765,0.076,0.000,46.970,-116.696
21588.000,1.294,-0.721,0.073,0.001,46.970,-116.696
21593.000,1.335,-0.637,0.069,0.001,46.970,-116.696
21599.000,1.507,-0.521,0.066,0.001,46.970,-116.696
21604.000,1.509,-0.519,0.063,0.001,46.970,-116.696
21610.000,1.599,-0.563,0.059,0.000,46.970,-116.696
21615.000,1.643,-0.484,0.056,0.001,46.970,-116.696
21621.000,1.733,-0.530,0.053,0.001,46.970,-116.696
21627.000,1.735,-0.528,0.050,0.000,46.970,-116.697
21632.000,1.866,-0.501,0.046,0.001,46.970,-116.697
21638.000,1.869,-0.499,0.043,0.001,46.970,-116.697
21643.000,1.959,-0.546,0.040,0.001,46.970,-116.697
21649.000,2.003,-0.473,0.037,0.001,46.970,-116.697
21654.000,2.092,-0.521,0.033,0.000,46.970,-116.697
21660.000,2.096,-0.519,0.030,0.001,46.970,-116.697
21665.000,2.226,-0.500,0.027,0.001,46.970,-116.697
21671.000,2.230,-0.497,0.024,0.001,46.970,-116.697
21676.000,2.234,-0.494,0.020,0.001,46.970,-116.697
