Alt,u,v,temp,bv2
1859.000,5.442,0.504,0.958,0.000
1864.000,5.525,0.548,0.999,0.000
1870.000,5.555,0.728,0.939,0.000
1875.000,5.545,0.736,0.980,0.000
1880.000,5.627,0.782,1.021,0.000
1885.000,5.653,0.966,1.061,0.000
1891.000,5.643,0.974,1.002,0.000
1896.000,5.725,1.021,1.043,0.000
1901.000,5.654,1.168,1.083,0.000
1906.000,5.736,1.216,1.024,0.000
1911.000,5.726,1.224,1.064,0.000
1916.000,5.777,1.091,1.105,0.000
1922.000,5.767,1.098,1.046,0.000
1927.000,5.758,1.106,1.086,-0.000
1932.000,5.748,1.114,1.027,-0.000
1937.000,5.797,0.979,1.067,0.000
1942.000,5.787,0.987,1.108,0.000
1948.000,5.778,0.994,1.048,0.000
1953.000,5.768,1.002,1.089,0.000
1958.000,5.815,0.866,1.029,0.000
1963.000,5.805,0.873,1.070,0.000
1968.000,5.795,0.881,1.110,0.000
1974.000,5.786,0.888,1.151,-0.000
1979.000,5.830,0.751,1.091,0.000
1984.000,5.821,0.758,1.132,0.000
1989.000,5.811,0.766,1.172,0.000
1994.000,5.802,0.773,1.113,0.000
1999.000,5.844,0.635,1.153,0.000
2005.000,5.834,0.642,1.194,0.000
2010.000,5.920,0.681,1.234,-0.000
2015.000,5.721,0.623,1.174,0.000
2020.000,5.617,0.598,1.215,0.000
2025.000,5.561,0.431,1.255,0.000
