Alt,u,v,temp,bv2,lat,long
24834.000,-0.518,-1.499,0.013,0.000,46.978,-116.763
24840.000,-0.517,-1.290,0.004,0.001,46.978,-116.763
24846.000,-0.511,-1.289,-0.005,0.001,46.978,-116.763
24852.000,-0.606,-1.080,-0.013,0.000,46.978,-116.763
24858.000,-0.599,-1.079,-0.022,0.000,46.978,-116.763
24864.000,-0.693,-1.077,-0.031,0.001,46.978,-116.763
24870.000,-0.684,-0.865,-0.039,0.001,46.978,-116.764
24876.000,-0.778,-0.862,-0.048,0.000,46.978,-116.764
24882.000,-0.771,-0.860,-0.057,0.000,46.978,-116.764
24888.000,-0.864,-0.857,-0.066,0.001,46.978,-116.764
24894.000,-0.852,-0.642,-0.074,0.001,46.978,-116.764
24900.000,-0.945,-0.637,-0.083,0.000,46.978,-116.765
24906.000,-1.038,-0.632,-0.092,0.000,46.978,-116.765
24912.000,-1.031,-0.630,-0.101,0.001,46.978,-116.765
24918.000,-1.124,-0.625,-0.110,0.001,46.978,-116.765
24924.000,-1.107,-0.404,-0.119,0.000,46.978,-116.765
24930.000,-1.200,-0.397,-0.127,0.000,46.978,-116.765
24936.000,-1.193,-0.395,-0.136,0.001,46.978,-116.766
24942.000,-1.285,-0.388,-0.145,0.001,46.978,-116.766
24948.000,-1.264,-0.163,-0.154,0.000,46.978,-116.766
24954.000,-1.357,-0.154,-0.163,0.000,46.978,-116.766
24960.000,-1.350,-0.152,-0.171,0.001,46.978,-116.766
24966.000,-1.442,-0.143,-0.180,0.001,46.978,-116.767
24972.000,-1.435,-0.140,-0.189,0.000,46.978,-116.767
24978.000,-1.610,0.106,-0.198,0.000,46.978,-116.767
24984.000,-1.702,0.117,-0.207,0.001,46.978,-116.767
24990.000,-1.795,0.128,-0.115,0.001,46.978,-116.767
24996.000,-1.887,0.140,-0.124,0.000,46.978,-116.767
25002.000,-1.979,0.151,-0.133,0.000,46.978,-116.768
25008.000,-2.072,0.163,-0.142,0.001,46.978,-116.768
25014.000,-2.164,0.175,-0.151,0.001,46.978,-116.768
25020.000,-2.257,0.186,-0.159,0.000,46.978,-116.768
25026.000,-2.326,0.441,-0.168,0.000,46.978,-116.768
25032.000,-2.418,0.455,-0.177,0.001,46.978,-116.768
