Alt,u,v,temp,bv2
11449.000,-5.705,3.008,-4.534,0.000
11454.000,-5.863,3.070,-4.514,0.000
11460.000,-6.025,3.128,-4.494,0.000
11465.000,-6.044,3.127,-4.474,0.000
11470.000,-6.208,3.183,-4.454,0.000
11475.000,-6.374,3.235,-4.434,0.000
11480.000,-6.427,3.327,-4.414,0.000
11485.000,-6.598,3.376,-4.395,0.000
11491.000,-6.771,3.421,-4.375,0.000
11496.000,-6.827,3.512,-4.355,0.000
11501.000,-7.004,3.553,-4.336,0.000
11506.000,-7.062,3.643,-4.417,-0.000
11511.000,-7.243,3.680,-4.397,0.001
11517.000,-7.302,3.770,-4.278,0.001
11522.000,-7.486,3.802,-4.259,0.000
11527.000,-7.379,3.857,-4.240,0.000
11532.000,-7.356,3.764,-4.222,0.000
11537.000,-7.250,3.816,-4.203,0.001
11543.000,-7.268,3.813,-4.084,0.001
11548.000,-7.160,3.863,-4.066,0.001
11553.000,-7.140,3.767,-4.047,0.001
11558.000,-7.033,3.814,-4.029,0.001
11563.000,-7.050,3.810,-4.011,0.000
11569.000,-6.942,3.854,-3.992,0.001
11574.000,-6.959,3.851,-3.874,0.001
11579.000,-6.849,3.892,-3.856,0.001
11584.000,-6.834,3.793,-3.838,0.000
11589.000,-6.725,3.831,-3.820,0.001
11595.000,-6.742,3.827,-3.703,0.001
11600.000,-6.632,3.862,-3.685,0.001
11605.000,-6.521,3.895,-3.667,0.001
11610.000,-6.538,3.890,-3.650,0.001
11615.000,-6.401,3.824,-3.532,0.001
11621.000,-6.417,3.819,-3.515,0.001
11626.000,-6.307,3.846,-3.498,0.001
11631.000,-6.274,3.646,-3.481,0.001
11636.000,-6.122,3.475,-3.364,0.001
11642.000,-5.976,3.301,-3.347,0.000
11647.000,-5.855,3.221,-3.330,0.001
11652.000,-5.737,3.138,-3.213,0.001
11657.000,-5.607,2.954,-3.196,0.001
