Alt,u,v,temp,bv2,lat,long
26461.000,1.410,-1.088,0.153,0.000,46.982,-116.808
26467.000,1.529,-1.299,0.145,0.000,46.982,-116.808
26473.000,1.538,-1.299,0.236,0.002,46.982,-116.809
26479.000,1.660,-1.507,0.228,0.001,46.982,-116.809
26485.000,1.669,-1.507,0.219,0.000,46.982,-116.809
26490.000,1.679,-1.508,0.211,0.000,46.982,-116.809
26496.000,1.688,-1.509,0.203,0.000,46.982,-116.809
26502.000,1.698,-1.511,0.194,0.001,46.982,-116.809
26508.000,1.707,-1.512,0.186,0.001,46.982,-116.810
26514.000,1.717,-1.514,0.177,0.000,46.982,-116.810
26520.000,1.727,-1.516,0.169,0.000,46.982,-116.810
26526.000,1.754,-1.730,0.261,0.000,46.982,-116.810
26532.000,1.764,-1.733,0.252,0.001,46.982,-116.810
26538.000,1.774,-1.735,0.244,0.001,46.982,-116.810
26544.000,1.883,-1.729,0.235,0.000,46.982,-116.810
26550.000,1.893,-1.732,0.226,0.000,46.982,-116.811
26555.000,1.903,-1.734,0.218,0.000,46.982,-116.811
26561.000,1.914,-1.737,0.209,0.000,46.982,-116.811
26567.000,1.924,-1.739,0.301,0.002,46.982,-116.811
26573.000,1.933,-1.742,0.292,0.001,46.982,-116.811
26579.000,1.943,-1.744,0.283,0.000,46.982,-116.811
26585.000,1.974,-1.956,0.275,0.000,46.982,-116.812
26591.000,1.983,-1.959,0.266,0.000,46.982,-116.812
26597.000,1.993,-1.961,0.257,0.001,46.982,-116.812
26603.000,2.003,-1.963,0.249,0.001,46.982,-116.812
26609.000,1.993,-1.755,0.240,0.000,46.982,-116.812
26615.000,2.003,-1.757,0.231,0.000,46.982,-116.812
26621.000,2.012,-1.759,0.222,0.000,46.982,-116.813
26626.000,2.022,-1.761,0.214,0.001,46.982,-116.813
26632.000,1.932,-1.771,0.205,0.001,46.982,-116.813
26638.000,1.925,-1.561,0.196,0.000,46.982,-116.813
26644.000,1.935,-1.563,0.187,0.000,46.982,-116.813
26650.000,1.945,-1.564,0.179,0.000,46.982,-116.813
26656.000,1.954,-1.566,0.170,0.000,46.982,-116.814
26662.000,1.951,-1.355,0.161,0.002,46.982,-116.814
26667.000,1.861,-1.362,0.252,0.002,46.982,-116.814
26673.000,1.871,-1.363,0.243,0.000,46.982,-116.814
26679.000,1.880,-1.365,0.234,0.000,46.982,-116.814
26685.000,1.890,-1.366,0.225,0.000,46.982,-116.814
26691.000,1.890,-1.153,0.216,0.001,46.981,-116.814
26697.000,1.900,-1.154,0.207,0.001,46.981,-116.815
26703.000,1.909,-1.155,0.198,0.000,46.981,-116.815
26708.000,1.819,-1.160,0.189,0.000,46.981,-116.815
26714.000,1.829,-1.161,0.180,0.000,46.981,-116.815
26720.000,1.838,-1.161,0.171,0.000,46.981,-116.815
26726.000,1.848,-1.162,0.162,0.001,46.981,-116.815
26732.000,1.857,-1.163,0.153,0.001,46.981,-116.816
26738.000,1.866,-1.164,0.144,0.000,46.981,-116.816
26743.000,1.885,-1.381,0.135,0.000,46.981,-116.816
26749.000,1.995,-1.376,0.126,0.000,46.981,-116.816
26755.000,2.004,-1.376,0.117,0.001,46.981,-116.816
26761.000,2.013,-1.376,0.108,0.001,46.981,-116.816
26767.000,2.023,-1.377,0.099,0.000,46.981,-116.817
26773.000,2.032,-1.377,0.190,0.000,46.981,-116.817
26779.000,2.055,-1.592,0.181,0.000,46.981,-116.817
26784.000,2.064,-1.592,0.172,0.001,46.981,-116.817
26790.000,2.074,-1.593,0.163,0.001,46.981,-116.817
26796.000,2.083,-1.593,0.154,0.000,46.981,-116.817
26802.000,2.093,-1.594,0.145,0.000,46.981,-116.818
26808.000,2.119,-1.808,0.136,0.000,46.981,-116.818
26814.000,2.129,-1.809,0.127,0.000,46.981,-116.818
26820.000,2.139,-1.810,0.118,0.002,46.981,-116.818
26825.000,2.148,-1.811,0.209,0.002,46.981,-116.818
26831.000,2.158,-1.812,0.200,0.000,46.981,-116.818
26837.000,2.168,-1.813,0.190,0.000,46.981,-116.819
26843.000,2.178,-1.814,0.181,0.000,46.981,-116.819
26849.000,2.188,-1.815,0.172,0.001,46.981,-116.819
26855.000,2.198,-1.816,0.163,0.001,46.981,-116.819
26861.000,2.208,-1.817,0.154,0.000,46.981,-116.819
26867.000,2.218,-1.819,0.144,0.000,46.981,-116.819
26873.000,2.128,-1.829,0.235,0.000,46.981,-116.820
26879.000,2.138,-1.830,0.226,0.000,46.981,-116.820
