Alt,u,v,temp,bv2
24720.000,-0.095,-3.773,0.139,0.001
24726.000,-0.092,-3.766,0.131,0.001
24732.000,-0.088,-3.759,0.122,0.000
24738.000,-0.120,-3.558,0.114,0.000
24744.000,-0.116,-3.551,0.105,0.001
24750.000,-0.243,-3.365,0.097,0.001
24756.000,-0.239,-3.357,0.088,0.000
24762.000,-0.264,-3.153,0.080,0.000
24768.000,-0.358,-3.159,0.071,0.001
24774.000,-0.380,-2.952,0.063,0.001
24780.000,-0.397,-2.745,0.054,0.000
24786.000,-0.492,-2.747,0.046,0.000
24792.000,-0.506,-2.538,0.037,0.001
24798.000,-0.501,-2.530,0.029,0.001
24804.000,-0.612,-2.326,0.020,0.000
24810.000,-0.607,-2.318,0.012,0.000
24816.000,-0.614,-2.106,0.003,0.001
24822.000,-0.709,-2.103,-0.005,0.001
24828.000,-0.713,-1.889,-0.014,0.000
24834.000,-0.807,-1.885,-0.022,0.000
24840.000,-0.808,-1.669,-0.030,0.001
24846.000,-0.803,-1.662,-0.039,0.001
24852.000,-0.899,-1.447,-0.047,0.000
24858.000,-0.894,-1.439,-0.056,0.000
24864.000,-0.989,-1.432,-0.064,0.001
24870.000,-0.982,-1.213,-0.073,0.001
24876.000,-1.077,-1.204,-0.081,0.000
24882.000,-1.072,-1.197,-0.090,0.000
24888.000,-1.167,-1.189,-0.098,0.001
24894.000,-1.156,-0.967,-0.107,0.001
24900.000,-1.250,-0.957,-0.115,0.000
24906.000,-1.345,-0.947,-0.124,0.000
24912.000,-1.339,-0.940,-0.132,0.001
24918.000,-1.433,-0.931,-0.141,0.001
24924.000,-1.418,-0.705,-0.149,0.000
24930.000,-1.512,-0.694,-0.158,0.000
24936.000,-1.506,-0.689,-0.166,0.001
24942.000,-1.600,-0.678,-0.175,0.001
24948.000,-1.580,-0.449,-0.183,0.000
24954.000,-1.674,-0.436,-0.192,0.000
24960.000,-1.668,-0.430,-0.200,0.001
24966.000,-1.761,-0.417,-0.209,0.001
24972.000,-1.755,-0.411,-0.217,0.000
24978.000,-1.931,-0.161,-0.226,0.000
24984.000,-2.024,-0.146,-0.234,0.001
24990.000,-2.118,-0.131,-0.143,0.001
24996.000,-2.211,-0.116,-0.151,0.000
25002.000,-2.305,-0.101,-0.160,0.000
25008.000,-2.399,-0.085,-0.168,0.001
25014.000,-2.492,-0.070,-0.177,0.001
25020.000,-2.586,-0.054,-0.186,0.000
25026.000,-2.655,0.205,-0.194,0.000
25032.000,-2.748,0.222,-0.202,0.001
25038.000,-2.841,0.240,-0.211,0.001
25044.000,-2.934,0.257,-0.220,0.000
25050.000,-3.027,0.275,-0.228,0.000
25055.000,-3.119,0.292,-0.236,0.001
25061.000,-3.211,0.310,-0.245,0.001
25067.000,-3.303,0.328,-0.253,0.000
25073.000,-3.395,0.345,-0.162,0.000
25079.000,-3.458,0.622,-0.171,0.001
25085.000,-3.549,0.641,-0.179,0.001
25091.000,-3.640,0.661,-0.188,0.000
25097.000,-3.731,0.680,-0.196,0.000
25102.000,-3.723,0.687,-0.205,0.001
25108.000,-3.715,0.695,-0.213,0.001
25114.000,-3.672,0.965,-0.222,0.000
25120.000,-3.762,0.986,-0.230,0.000
25126.000,-3.753,0.993,-0.239,0.000
25132.000,-3.744,1.001,-0.247,0.001
25138.000,-3.735,1.008,-0.256,0.001
25143.000,-3.825,1.029,-0.264,0.000
25149.000,-3.776,1.301,-0.273,0.000
25155.000,-3.768,1.307,-0.181,0.001
25161.000,-3.759,1.314,-0.190,0.001
25167.000,-3.849,1.336,-0.199,0.000
25173.000,-3.840,1.342,-0.207,0.000
25179.000,-3.786,1.614,-0.216,0.001
25185.000,-3.876,1.637,-0.224,0.001
25190.000,-3.867,1.642,-0.233,0.000
25196.000,-3.858,1.647,-0.241,0.000
25202.000,-3.849,1.651,-0.249,0.001
25208.000,-3.938,1.673,-0.258,0.001
25214.000,-3.781,1.927,-0.266,0.000
25219.000,-3.674,1.911,-0.275,0.000
25225.000,-3.566,1.895,-0.283,0.000
25231.000,-3.557,1.898,-0.292,0.001
25236.000,-3.396,2.143,-0.300,0.001
25242.000,-3.289,2.125,-0.309,0.000
25247.000,-3.181,2.106,-0.317,0.000
25253.000,-3.172,2.108,-0.326,0.001
25259.000,-3.065,2.089,-0.334,0.001
25264.000,-2.901,2.324,-0.443,-0.000
25270.000,-2.795,2.303,-0.451,0.000
25276.000,-2.786,2.304,-0.460,0.000
25281.000,-2.679,2.283,-0.469,0.001
25287.000,-2.513,2.509,-0.477,0.001
25293.000,-2.504,2.511,-0.486,0.000
25298.000,-2.399,2.488,-0.494,0.000
25304.000,-2.294,2.464,-0.503,0.001
25310.000,-2.126,2.683,-0.511,0.001
