Alt,u,v,temp,bv2
17280.000,2.038,-1.063,0.209,0.713
17284.000,2.016,-1.147,0.315,0.473
17289.000,1.995,-1.232,0.321,0.035
17294.000,1.973,-1.316,0.327,0.334
17299.000,1.952,-1.401,0.432,0.253
17304.000,1.931,-1.485,0.438,0.025
17309.000,1.910,-1.569,0.443,0.028
17313.000,1.766,-1.614,0.448,0.028
17318.000,1.747,-1.698,0.454,0.023
17323.000,1.727,-1.782,0.459,0.236
17328.000,1.708,-1.866,0.564,0.192
17333.000,1.660,-2.045,0.569,0.020
17337.000,1.641,-2.129,0.574,0.020
17342.000,1.623,-2.212,0.579,0.017
17347.000,1.604,-2.296,0.584,0.016
17352.000,1.586,-2.379,0.589,0.183
17357.000,1.567,-2.462,0.694,0.141
17361.000,1.444,-2.514,0.698,0.015
17366.000,1.427,-2.598,0.703,0.014
17371.000,1.411,-2.681,0.708,0.013
17376.000,1.395,-2.764,0.712,0.013
17381.000,1.379,-2.847,0.717,0.015
17385.000,1.363,-2.930,0.722,0.015
17390.000,1.347,-3.013,0.726,0.013
17395.000,1.237,-3.069,0.731,0.013
17400.000,1.154,-3.031,0.735,0.012
17405.000,1.071,-2.995,0.740,0.012
17410.000,1.061,-3.078,0.745,0.012
17415.000,0.980,-3.043,0.749,0.014
17419.000,0.898,-3.010,0.753,0.013
17424.000,0.816,-2.978,0.758,0.012
17429.000,0.734,-2.948,0.762,0.012
17434.000,0.746,-2.934,0.767,0.011
17439.000,0.650,-3.004,0.771,-0.115
17444.000,0.570,-2.977,0.675,-0.114
17448.000,0.489,-2.952,0.680,0.015
17453.000,0.400,-3.028,0.684,0.014
17458.000,0.321,-3.006,0.689,0.013
17463.000,0.242,-2.986,0.693,0.013
17468.000,0.255,-2.971,0.698,0.013
17473.000,0.172,-3.052,0.702,0.015
17477.000,0.095,-3.035,0.707,0.015
17482.000,0.017,-3.019,0.711,0.013
17487.000,-0.061,-3.005,0.716,0.013
17492.000,-0.138,-2.993,0.720,0.013
17497.000,-0.216,-2.982,0.725,0.012
17502.000,-0.293,-2.972,0.729,0.014
17506.000,-0.460,-2.973,0.734,0.014
17511.000,-0.537,-2.968,0.738,0.012
17516.000,-0.614,-2.964,0.743,0.012
17521.000,-0.691,-2.962,0.747,0.012
17526.000,-0.767,-2.961,0.751,0.012
17531.000,-0.825,-3.060,0.756,0.011
17536.000,-0.986,-3.081,0.760,0.012
17541.000,-1.060,-3.087,0.764,-0.117
17546.000,-1.134,-3.093,0.668,-0.134
17551.000,-1.207,-3.101,0.673,0.013
17556.000,-1.280,-3.110,0.677,0.013
17561.000,-1.438,-3.150,0.681,0.013
17566.000,-1.509,-3.164,0.685,0.014
17570.000,-1.581,-3.179,0.690,0.014
17575.000,-1.614,-3.289,0.694,0.012
17580.000,-1.722,-3.214,0.698,0.152
17585.000,-1.792,-3.234,0.802,0.133
17590.000,-1.861,-3.256,0.806,0.010
17595.000,-1.850,-3.240,0.810,0.010
17600.000,-1.838,-3.225,0.814,0.010
17605.000,-1.826,-3.209,0.818,0.010
17610.000,-1.857,-3.103,0.822,0.010
17615.000,-1.845,-3.088,0.825,0.009
17620.000,-1.834,-3.073,0.829,0.010
17625.000,-1.822,-3.057,0.833,0.009
17630.000,-1.892,-3.081,0.837,0.010
17634.000,-1.881,-3.066,0.840,0.010
17639.000,-1.869,-3.050,0.844,0.008
17644.000,-1.902,-2.945,0.847,0.009
17649.000,-1.890,-2.929,0.851,0.008
17654.000,-1.879,-2.913,0.854,0.008
17659.000,-1.867,-2.897,0.858,0.008
17664.000,-1.856,-2.881,0.861,0.008
17669.000,-1.927,-2.906,0.864,0.008
17674.000,-1.960,-2.801,0.868,0.008
17679.000,-1.948,-2.785,0.871,0.007
17684.000,-1.935,-2.769,0.874,0.007
17689.000,-2.006,-2.797,0.877,0.008
17694.000,-2.077,-2.825,0.880,0.007
17699.000,-2.146,-2.856,0.883,-0.104
17704.000,-2.266,-2.801,0.786,-0.117
17709.000,-2.415,-2.887,0.789,0.008
17714.000,-2.482,-2.924,0.792,0.007
17720.000,-2.605,-2.880,0.795,0.007
17725.000,-2.671,-2.920,0.798,0.007
17730.000,-2.736,-2.962,0.801,0.007
17735.000,-2.862,-2.927,0.803,0.007
17740.000,-2.926,-2.972,0.806,0.007
17745.000,-2.989,-3.020,0.808,0.007
17750.000,-3.051,-3.069,0.811,0.006
17755.000,-3.179,-3.045,0.813,0.006
17761.000,-3.240,-3.097,0.816,-0.125
17766.000,-3.300,-3.151,0.718,-0.129
17771.000,-3.358,-3.207,0.721,0.007
17776.000,-3.415,-3.264,0.723,0.007
17781.000,-3.544,-3.253,0.726,0.007
17786.000,-3.600,-3.314,0.728,0.007
17791.000,-3.730,-3.311,0.730,0.007
17796.000,-3.792,-3.230,0.733,-0.096
17802.000,-3.854,-3.149,0.635,-0.111
17807.000,-3.840,-3.134,0.637,0.007
17812.000,-3.901,-3.054,0.639,0.007
17817.000,-4.035,-3.059,0.641,0.007
17822.000,-4.098,-2.980,0.643,0.007
17827.000,-4.161,-2.901,0.645,0.006
17832.000,-4.147,-2.886,0.647,0.006
17837.000,-4.210,-2.806,0.649,-0.108
17843.000,-4.273,-2.727,0.551,-0.128
17848.000,-4.413,-2.740,0.553,0.007
17853.000,-4.478,-2.662,0.555,0.007
17858.000,-4.465,-2.647,0.557,0.007
17863.000,-4.529,-2.569,0.558,0.007
17868.000,-4.594,-2.490,0.560,0.006
17873.000,-4.659,-2.412,0.562,0.006
17878.000,-4.804,-2.434,0.564,0.006
17884.000,-4.870,-2.357,0.565,-0.184
17889.000,-4.858,-2.342,0.467,-0.203
17894.000,-4.841,-2.161,0.468,0.007
17899.000,-4.906,-2.082,0.470,0.007
17904.000,-4.808,-1.963,0.471,0.006
17909.000,-4.784,-1.779,0.473,0.007
17914.000,-4.771,-1.763,0.474,0.006
17919.000,-4.743,-1.578,0.475,0.005
17925.000,-4.710,-1.393,0.477,0.006
17930.000,-4.697,-1.377,0.478,0.006
17935.000,-4.661,-1.190,0.479,0.006
17940.000,-4.720,-1.104,0.481,0.005
17945.000,-4.607,-0.986,0.482,0.005
17950.000,-4.665,-0.898,0.483,0.005
17955.000,-4.618,-0.708,0.484,0.005
17960.000,-4.606,-0.691,0.485,0.004
17966.000,-4.555,-0.500,0.486,0.005
17971.000,-4.500,-0.309,0.487,0.004
17976.000,-4.554,-0.217,0.488,0.004
17981.000,-4.427,-0.099,0.489,0.004
17986.000,-4.480,-0.007,0.490,0.004
17991.000,-4.415,0.187,0.491,0.004
17996.000,-4.338,0.127,0.492,0.004
18001.000,-4.207,0.242,0.493,0.004
18006.000,-4.131,0.182,0.493,0.004
18011.000,-3.999,0.294,0.494,0.003
18016.000,-3.986,0.312,0.495,0.003
18022.000,-3.793,0.343,0.496,0.003
18027.000,-3.659,0.450,0.497,0.003
18032.000,-3.587,0.387,0.497,0.004
18037.000,-3.452,0.491,0.498,0.003
18042.000,-3.438,0.510,0.499,0.003
18047.000,-3.246,0.529,0.500,0.004
18052.000,-3.109,0.629,0.500,0.003
18057.000,-3.094,0.647,0.501,0.003
18062.000,-2.903,0.660,0.502,0.003
18067.000,-2.887,0.679,0.502,0.003
18072.000,-2.748,0.773,0.503,0.003
18077.000,-2.557,0.779,0.504,0.003
18082.000,-2.541,0.798,0.505,0.003
18087.000,-2.401,0.887,0.505,0.003
18092.000,-2.211,0.886,0.506,0.003
18097.000,-2.195,0.905,0.507,0.004
18102.000,-2.007,0.900,0.507,0.004
18107.000,-1.945,0.830,0.508,0.004
18112.000,-1.760,0.821,0.509,0.004
18117.000,-1.620,0.898,0.510,0.003
18123.000,-1.560,0.827,0.511,0.003
18128.000,-1.379,0.810,0.512,0.003
18133.000,-1.321,0.738,0.512,0.003
18138.000,-1.182,0.809,0.513,0.004
18143.000,-1.006,0.785,0.514,0.003
18148.000,-0.949,0.712,0.515,0.003
18153.000,-0.776,0.684,0.516,0.004
18158.000,-0.640,0.747,0.516,0.193
18163.000,-0.586,0.672,0.617,0.162
18168.000,-0.417,0.638,0.618,0.003
18173.000,-0.282,0.696,0.619,-0.155
18178.000,-0.117,0.656,0.520,-0.202
18184.000,-0.068,0.579,0.521,0.004
18189.000,0.065,0.632,0.522,0.004
18194.000,0.226,0.586,0.522,0.004
18199.000,0.272,0.508,0.523,0.004
18204.000,0.318,0.430,0.524,0.004
18209.000,0.365,0.351,0.525,0.004
18214.000,0.305,0.244,0.526,0.004
18219.000,0.354,0.166,0.527,0.004
18224.000,0.402,0.088,0.528,0.004
18230.000,0.479,-0.086,0.529,0.004
18235.000,0.527,-0.164,0.530,0.004
18240.000,0.576,-0.243,0.531,0.004
18245.000,0.625,-0.321,0.532,0.004
18250.000,0.673,-0.400,0.534,0.005
18255.000,0.632,-0.505,0.535,0.005
18260.000,0.682,-0.583,0.536,0.005
18265.000,0.733,-0.662,0.537,0.005
18270.000,0.784,-0.740,0.538,0.005
18275.000,0.864,-0.915,0.540,0.004
18281.000,0.914,-0.993,0.541,0.005
18286.000,0.887,-1.097,0.542,0.005
18291.000,0.940,-1.175,0.543,0.005
18296.000,0.992,-1.253,0.545,0.005
18301.000,1.044,-1.332,0.546,0.005
18306.000,1.066,-1.315,0.547,0.006
18311.000,1.119,-1.394,0.549,0.005
18316.000,1.171,-1.472,0.550,0.005
18321.000,1.224,-1.551,0.551,0.005
18326.000,1.245,-1.535,0.553,0.005
18331.000,1.298,-1.614,0.554,0.005
18336.000,1.351,-1.693,0.555,0.005
18341.000,1.373,-1.677,0.556,0.005
18346.000,1.425,-1.757,0.558,0.005
18351.000,1.416,-1.857,0.559,0.005
18356.000,1.470,-1.937,0.560,0.005
18361.000,1.492,-1.922,0.562,0.005
18366.000,1.546,-2.003,0.563,0.005
18371.000,1.600,-2.083,0.564,0.005
18376.000,1.654,-2.164,0.566,0.005
18381.000,1.675,-2.151,0.567,0.005
18386.000,1.729,-2.233,0.568,0.005
18391.000,1.782,-2.315,0.570,0.005
18396.000,1.804,-2.303,0.571,-0.167
18401.000,1.825,-2.291,0.472,-0.202
18406.000,1.846,-2.280,0.474,0.006
18411.000,1.815,-2.287,0.475,0.006
18416.000,1.836,-2.276,0.476,0.006
18421.000,1.857,-2.266,0.478,0.006
18426.000,1.877,-2.257,0.479,0.006
18431.000,1.847,-2.266,0.480,0.005
18436.000,1.868,-2.257,0.481,0.005
18441.000,1.888,-2.249,0.483,0.006
18446.000,1.908,-2.240,0.484,0.005
18451.000,1.928,-2.233,0.485,0.006
18456.000,1.898,-2.245,0.486,0.005
18461.000,1.917,-2.238,0.487,0.005
18466.000,1.937,-2.231,0.488,0.005
18471.000,1.957,-2.225,0.489,0.005
18476.000,1.976,-2.219,0.490,0.004
18481.000,1.945,-2.234,0.491,-0.195
18486.000,1.964,-2.229,0.392,-0.245
18491.000,1.983,-2.224,0.393,0.005
18496.000,2.002,-2.219,0.394,0.006
18500.000,1.889,-2.054,0.395,0.005
18505.000,1.813,-1.983,0.396,0.004
18510.000,1.734,-1.916,0.397,0.004
18515.000,1.653,-1.851,0.398,0.004
18520.000,1.580,-1.670,0.398,0.005
18525.000,1.492,-1.610,0.399,0.004
18530.000,1.463,-1.519,0.400,0.004
18535.000,1.371,-1.464,0.401,-0.241
18540.000,1.227,-1.324,0.301,-0.321
18545.000,1.194,-1.236,0.302,0.005
18550.000,1.094,-1.188,0.303,0.005
18555.000,1.060,-1.101,0.303,0.005
18559.000,0.974,-0.929,0.304,0.004
18564.000,0.867,-0.888,0.305,0.004
18569.000,0.831,-0.802,0.305,0.004
18574.000,0.719,-0.765,0.306,-0.316
18579.000,0.627,-0.597,0.206,-0.469
18584.000,0.589,-0.513,0.207,0.007
18589.000,0.471,-0.482,0.208,0.006
18594.000,0.431,-0.399,0.208,0.005
18599.000,0.391,-0.317,0.209,0.005
18604.000,0.351,-0.234,0.209,-0.463
18609.000,0.366,-0.235,0.110,-0.883
18614.000,0.241,-0.211,0.110,0.011
18618.000,0.199,-0.130,0.111,0.012
18623.000,0.214,-0.131,0.111,0.012
18628.000,0.172,-0.050,0.112,0.012
