Alt,u,v,temp,bv2
24798.000,-0.501,-2.530,0.029,0.001
24804.000,-0.612,-2.326,0.020,0.000
24810.000,-0.607,-2.318,0.012,0.000
24816.000,-0.614,-2.106,0.003,0.001
24822.000,-0.709,-2.103,-0.005,0.001
24828.000,-0.713,-1.889,-0.014,0.000
24834.000,-0.807,-1.885,-0.022,0.000
24840.000,-0.808,-1.669,-0.030,0.001
24846.000,-0.803,-1.662,-0.039,0.001
24852.000,-0.899,-1.447,-0.047,0.000
24858.000,-0.894,-1.439,-0.056,0.000
24864.000,-0.989,-1.432,-0.064,0.001
24870.000,-0.982,-1.213,-0.073,0.001
24876.000,-1.077,-1.204,-0.081,0.000
24882.000,-1.072,-1.197,-0.090,0.000
24888.000,-1.167,-1.189,-0.098,0.001
24894.000,-1.156,-0.967,-0.107,0.001
24900.000,-1.250,-0.957,-0.115,0.000
24906.000,-1.345,-0.947,-0.124,0.000
24912.000,-1.339,-0.940,-0.132,0.001
24918.000,-1.433,-0.931,-0.141,0.001
24924.000,-1.418,-0.705,-0.149,0.000
24930.000,-1.512,-0.694,-0.158,0.000
24936.000,-1.506,-0.689,-0.166,0.001
24942.000,-1.600,-0.678,-0.175,0.001
24948.000,-1.580,-0.449,-0.183,0.000
24954.000,-1.674,-0.436,-0.192,0.000
24960.000,-1.668,-0.430,-0.200,0.001
24966.000,-1.761,-0.417,-0.209,0.001
24972.000,-1.755,-0.411,-0.217,0.000
24978.000,-1.931,-0.161,-0.226,0.000
24984.000,-2.024,-0.146,-0.234,0.001
24990.000,-2.118,-0.131,-0.143,0.001
24996.000,-2.211,-0.116,-0.151,0.000
25002.000,-2.305,-0.101,-0.160,0.000
25008.000,-2.399,-0.085,-0.168,0.001
25014.000,-2.492,-0.070,-0.177,0.001
25020.000,-2.586,-0.054,-0.186,0.000
25026.000,-2.655,0.205,-0.194,0.000
25032.000,-2.748,0.222,-0.202,0.001
25038.000,-2.841,0.240,-0.211,0.001
25044.000,-2.934,0.257,-0.220,0.000
25050.000,-3.027,0.275,-0.228,0.000
25055.000,-3.119,0.292,-0.236,0.001
25061.000,-3.211,0.310,-0.245,0.001
25067.000,-3.303,0.328,-0.253,0.000
25073.000,-3.395,0.345,-0.162,0.000
25079.000,-3.458,0.622,-0.171,0.001
25085.000,-3.549,0.641,-0.179,0.001
25091.000,-3.640,0.661,-0.188,0.000
25097.000,-3.731,0.680,-0.196,0.000
25102.000,-3.723,0.687,-0.205,0.001
25108.000,-3.715,0.695,-0.213,0.001
25114.000,-3.672,0.965,-0.222,0.000
25120.000,-3.762,0.986,-0.230,0.000
25126.000,-3.753,0.993,-0.239,0.000
25132.000,-3.744,1.001,-0.247,0.001
25138.000,-3.735,1.008,-0.256,0.001
25143.000,-3.825,1.029,-0.264,0.000
25149.000,-3.776,1.301,-0.273,0.000
25155.000,-3.768,1.307,-0.181,0.001
25161.000,-3.759,1.314,-0.190,0.001
25167.000,-3.849,1.336,-0.199,0.000
25173.000,-3.840,1.342,-0.207,0.000
25179.000,-3.786,1.614,-0.216,0.001
25185.000,-3.876,1.637,-0.224,0.001
25190.000,-3.867,1.642,-0.233,0.000
25196.000,-3.858,1.647,-0.241,0.000
25202.000,-3.849,1.651,-0.249,0.001
25208.000,-3.938,1.673,-0.258,0.001
25214.000,-3.781,1.927,-0.266,0.000
25219.000,-3.674,1.911,-0.275,0.000
25225.000,-3.566,1.895,-0.283,0.000
25231.000,-3.557,1.898,-0.292,0.001
25236.000,-3.396,2.143,-0.300,0.001
25242.000,-3.289,2.125,-0.309,0.000
25247.000,-3.181,2.106,-0.317,0.000
25253.000,-3.172,2.108,-0.326,0.001
25259.000,-3.065,2.089,-0.334,0.001
25264.000,-2.901,2.324,-0.443,-0.000
25270.000,-2.795,2.303,-0.451,0.000
25276.000,-2.786,2.304,-0.460,0.000
25281.000,-2.679,2.283,-0.469,0.001
25287.000,-2.513,2.509,-0.477,0.001
25293.000,-2.504,2.511,-0.486,0.000
25298.000,-2.399,2.488,-0.494,0.000
25304.000,-2.294,2.464,-0.503,0.001
25310.000,-2.126,2.683,-0.511,0.001
25315.000,-2.118,2.683,-0.520,0.000
25321.000,-2.014,2.658,-0.528,0.000
25326.000,-1.910,2.633,-0.537,0.000
25332.000,-1.806,2.607,-0.545,0.001
25338.000,-1.734,2.843,-0.554,0.001
25343.000,-1.631,2.816,-0.562,0.000
25349.000,-1.528,2.789,-0.571,0.000
25355.000,-1.426,2.761,-0.580,0.001
25360.000,-1.420,2.762,-0.588,0.001
25366.000,-1.318,2.735,-0.597,0.000
25372.000,-1.216,2.707,-0.605,0.000
25377.000,-1.114,2.680,-0.614,0.000
25383.000,-1.042,2.904,-0.623,0.001
25388.000,-0.942,2.875,-0.631,0.001
25394.000,-0.841,2.846,-0.640,0.000
25399.000,-0.740,2.816,-0.649,0.000
25405.000,-0.639,2.787,-0.657,0.000
25411.000,-0.635,2.788,-0.666,0.001
25416.000,-0.534,2.760,-0.675,0.001
25422.000,-0.367,2.944,-0.683,0.000
25427.000,-0.267,2.915,-0.692,0.000
25433.000,-0.263,2.916,-0.701,0.001
25438.000,-0.069,2.855,-0.710,0.001
25444.000,0.031,2.826,-0.718,0.000
25449.000,0.198,3.000,-0.727,0.000
25455.000,0.391,2.936,-0.736,0.000
25461.000,0.489,2.906,-0.745,0.001
25466.000,0.657,3.071,-0.754,0.001
25472.000,0.848,3.005,-0.762,0.000
25477.000,0.945,2.973,-0.671,0.000
25483.000,1.113,3.129,-0.680,0.000
25488.000,1.302,3.061,-0.689,0.001
25494.000,1.470,3.210,-0.697,0.001
25500.000,1.566,3.176,-0.706,0.000
25505.000,1.753,3.105,-0.715,0.000
25511.000,1.921,3.246,-0.724,0.001
25516.000,2.015,3.211,-0.733,0.001
25522.000,2.183,3.346,-0.742,0.000
25527.000,2.368,3.270,-0.750,0.000
25533.000,2.462,3.235,-0.759,0.000
25538.000,2.629,3.362,-0.768,0.001
25544.000,2.813,3.283,-0.777,0.001
25550.000,2.815,3.289,-0.786,0.000
25555.000,2.983,3.409,-0.795,0.000
25561.000,3.075,3.372,-0.804,0.000
25566.000,3.078,3.379,-0.813,0.001
25572.000,3.170,3.343,-0.822,0.001
25578.000,3.262,3.307,-0.831,0.000
25583.000,3.265,3.314,-0.840,0.000
25589.000,3.357,3.279,-0.849,0.001
25594.000,3.450,3.244,-0.857,0.001
25600.000,3.454,3.253,-0.866,0.000
25606.000,3.547,3.218,-0.875,0.000
25611.000,3.641,3.183,-0.884,0.000
25617.000,3.735,3.148,-0.893,0.001
25622.000,3.810,3.301,-0.902,0.001
25628.000,3.904,3.265,-0.912,0.000
25634.000,3.998,3.229,-0.920,0.000
