Alt,u,v,temp,bv2,lat,long
31478.000,1.243,-1.234,0.657,0.000,46.990,-116.979
31484.000,1.334,-1.479,0.642,0.000,46.990,-116.980
31490.000,1.329,-1.723,0.627,0.000,46.990,-116.980
31496.000,1.422,-1.721,0.612,0.000,46.990,-116.980
31503.000,1.415,-1.721,0.597,0.000,46.990,-116.980
31509.000,1.514,-1.959,0.682,0.003,46.990,-116.980
31515.000,1.507,-1.959,0.667,0.003,46.990,-116.981
31521.000,1.500,-1.958,0.652,0.000,46.990,-116.981
31528.000,1.593,-1.954,0.637,0.000,46.990,-116.981
31534.000,1.585,-1.954,0.623,0.000,46.990,-116.981
31540.000,1.678,-1.950,0.608,0.000,46.990,-116.981
31547.000,1.681,-2.186,0.593,0.000,46.990,-116.981
31554.000,1.674,-2.186,0.578,0.000,46.990,-116.982
31560.000,1.767,-2.180,0.663,0.000,46.990,-116.982
31567.000,1.759,-2.179,0.648,0.000,46.990,-116.982
31574.000,1.852,-2.173,0.633,0.000,46.990,-116.982
31580.000,1.844,-2.173,0.618,0.003,46.990,-116.982
31587.000,1.837,-2.172,0.603,0.003,46.990,-116.982
31594.000,1.944,-2.398,0.588,0.000,46.990,-116.983
31600.000,1.936,-2.397,0.572,0.000,46.990,-116.983
31607.000,2.028,-2.390,0.657,0.000,46.990,-116.983
31614.000,2.021,-2.389,0.642,0.000,46.990,-116.983
31620.000,2.013,-2.388,0.627,0.000,46.990,-116.983
31627.000,2.106,-2.381,0.612,0.000,46.990,-116.983
31634.000,2.098,-2.380,0.597,0.000,46.990,-116.984
31640.000,2.090,-2.379,0.582,0.000,46.990,-116.984
31647.000,2.083,-2.378,0.567,0.003,46.990,-116.984
31654.000,2.075,-2.377,0.552,0.003,46.990,-116.984
31660.000,2.167,-2.370,0.637,0.000,46.990,-116.984
31667.000,2.159,-2.369,0.621,0.000,46.990,-116.984
31674.000,2.138,-2.142,0.606,0.000,46.990,-116.985
31680.000,2.130,-2.141,0.591,0.000,46.990,-116.985
31687.000,2.122,-2.140,0.576,0.000,46.990,-116.985
31694.000,2.114,-2.139,0.561,0.000,46.990,-116.985
31700.000,2.106,-2.138,0.545,0.000,46.990,-116.985
31707.000,2.198,-2.132,0.530,0.000,46.990,-116.985
31714.000,2.191,-2.131,0.615,0.003,46.990,-116.986
31720.000,2.173,-1.905,0.600,0.003,46.990,-116.986
31727.000,2.165,-1.904,0.584,0.000,46.990,-116.986
31734.000,2.157,-1.903,0.569,0.000,46.990,-116.986
31741.000,2.149,-1.902,0.554,0.000,46.990,-116.986
31747.000,2.141,-1.901,0.539,0.000,46.990,-116.986
31754.000,2.133,-1.900,0.523,0.000,46.990,-116.987
31761.000,2.225,-1.896,0.508,0.000,46.990,-116.987
31768.000,2.216,-1.895,0.493,0.000,46.990,-116.987
31775.000,2.208,-1.894,0.477,0.000,46.990,-116.987
31782.000,2.200,-1.893,0.462,0.000,46.990,-116.987
31789.000,2.192,-1.892,0.447,0.003,46.990,-116.987
31796.000,2.184,-1.891,0.431,0.003,46.990,-116.988
31802.000,2.175,-1.890,0.416,0.000,46.990,-116.988
31809.000,2.167,-1.888,0.400,0.000,46.990,-116.988
31816.000,2.169,-2.110,0.385,0.000,46.990,-116.988
31823.000,2.260,-2.104,0.370,0.000,46.990,-116.988
31830.000,2.252,-2.103,0.354,0.000,46.990,-116.988
31837.000,2.243,-2.102,0.339,0.000,46.990,-116.989
31844.000,2.235,-2.101,0.323,0.000,46.990,-116.989
31850.000,2.227,-2.099,0.308,0.000,46.990,-116.989
31857.000,2.218,-2.098,0.292,0.003,46.990,-116.989
31864.000,2.210,-2.097,0.277,0.003,46.990,-116.989
31871.000,2.215,-2.317,0.361,0.000,46.990,-116.989
31878.000,2.206,-2.316,0.346,-0.000,46.990,-116.990
31885.000,2.297,-2.307,0.230,-0.000,46.990,-116.990
31892.000,2.289,-2.306,0.215,0.000,46.990,-116.990
31899.000,2.280,-2.305,0.199,0.000,46.990,-116.990
31905.000,2.289,-2.523,0.184,0.000,46.990,-116.990
31912.000,2.301,-2.740,0.168,0.000,46.990,-116.990
31919.000,2.292,-2.739,0.153,0.000,46.990,-116.991
31926.000,2.308,-2.956,0.137,0.003,46.990,-116.991
31933.000,2.328,-3.172,0.121,0.003,46.990,-116.991
31940.000,2.352,-3.389,0.106,0.000,46.990,-116.991
31947.000,2.281,-3.621,0.090,0.000,46.990,-116.991
31953.000,2.272,-3.620,0.074,0.000,46.990,-116.991
31960.000,2.304,-3.836,0.059,0.000,46.989,-116.992
31967.000,2.339,-4.052,0.043,0.000,46.989,-116.992
31974.000,2.378,-4.267,0.028,0.000,46.989,-116.992
31980.000,2.324,-4.505,0.012,0.000,46.989,-116.992
31987.000,2.315,-4.504,-0.004,0.000,46.989,-116.992
31994.000,2.362,-4.718,-0.020,0.000,46.989,-116.992
32001.000,2.412,-4.932,-0.035,0.003,46.989,-116.993
32008.000,2.371,-5.174,-0.051,0.003,46.989,-116.993
32014.000,2.430,-5.387,-0.067,0.000,46.989,-116.993
32021.000,2.421,-5.386,-0.082,0.000,46.989,-116.993
32028.000,2.388,-5.630,-0.098,0.000,46.989,-116.993
32035.000,2.455,-5.842,-0.114,0.000,46.989,-116.993
32041.000,2.446,-5.841,-0.130,0.000,46.989,-116.993
32048.000,2.437,-5.839,-0.146,0.000,46.989,-116.994
32055.000,2.427,-5.837,-0.161,0.000,46.989,-116.994
32062.000,2.418,-5.836,-0.177,0.000,46.989,-116.994
32068.000,2.488,-6.046,-0.193,0.003,46.989,-116.994
32075.000,2.479,-6.045,-0.209,0.003,46.989,-116.994
32082.000,2.470,-6.043,-0.225,0.000,46.989,-116.994
32089.000,2.460,-6.041,-0.241,0.000,46.989,-116.995
32095.000,2.451,-6.039,-0.256,0.000,46.989,-116.995
32102.000,2.441,-6.038,-0.272,0.000,46.989,-116.995
32109.000,2.515,-6.247,-0.288,0.000,46.988,-116.995
32116.000,2.505,-6.245,-0.304,0.000,46.988,-116.995
32122.000,2.496,-6.243,-0.320,0.000,46.988,-116.995
32129.000,2.486,-6.241,-0.336,0.000,46.988,-116.996
32136.000,2.477,-6.239,-0.352,0.000,46.988,-116.996
32143.000,2.467,-6.237,-0.368,0.003,46.988,-116.996
32150.000,2.544,-6.445,-0.384,0.003,46.988,-116.996
32156.000,2.535,-6.443,-0.400,0.000,46.988,-116.996
32163.000,2.525,-6.441,-0.416,0.000,46.988,-116.996
32169.000,2.515,-6.439,-0.432,0.000,46.988,-116.997
32176.000,2.505,-6.437,-0.448,0.000,46.988,-116.997
32183.000,2.316,-6.263,-0.464,0.000,46.988,-116.997
32189.000,2.306,-6.261,-0.480,0.000,46.988,-116.997
32196.000,2.213,-6.046,-0.496,0.000,46.988,-116.997
32202.000,2.203,-6.044,-0.512,0.000,46.988,-116.997
32209.000,2.193,-6.042,-0.528,0.000,46.988,-116.998
32216.000,2.103,-5.826,-0.544,0.000,46.988,-116.998
32222.000,2.093,-5.824,-0.560,0.003,46.988,-116.998
32229.000,2.007,-5.606,-0.576,0.003,46.988,-116.998
32235.000,1.997,-5.604,-0.592,0.000,46.988,-116.998
32242.000,1.914,-5.385,-0.609,0.000,46.988,-116.998
32248.000,1.904,-5.383,-0.625,0.000,46.988,-116.999
32255.000,1.799,-5.412,-0.641,0.000,46.988,-116.999
32262.000,1.719,-5.190,-0.657,0.000,46.988,-116.999
32268.000,1.709,-5.188,-0.673,0.000,46.988,-116.999
32275.000,1.634,-4.964,-0.689,0.000,46.988,-116.999
32281.000,1.624,-4.962,-0.706,0.000,46.988,-116.999
32288.000,1.613,-4.960,-0.722,0.000,46.988,-117.000
32294.000,1.445,-4.761,-0.738,0.003,46.988,-117.000
32301.000,1.435,-4.759,-0.754,0.003,46.988,-117.000
32308.000,1.463,-4.508,-0.770,0.000,46.988,-117.000
32314.000,1.399,-4.282,-0.787,0.000,46.988,-117.000
32321.000,1.437,-4.033,-0.803,0.000,46.988,-117.000
32327.000,1.381,-3.807,-0.819,0.000,46.988,-117.001
32334.000,1.230,-3.597,-0.836,0.000,46.988,-117.001
32340.000,1.182,-3.368,-0.852,0.000,46.988,-117.001
32347.000,1.137,-3.137,-0.768,0.000,46.988,-117.001
32354.000,1.196,-2.894,-0.784,0.000,46.988,-117.001
32360.000,1.159,-2.665,-0.801,0.000,46.988,-117.001
32367.000,1.127,-2.435,-0.817,0.000,46.988,-117.002
32373.000,1.098,-2.204,-0.834,0.003,46.988,-117.002
32380.000,1.074,-1.973,-0.850,0.003,46.988,-117.002
32386.000,1.053,-1.742,-0.866,0.000,46.988,-117.002
32393.000,1.036,-1.511,-0.883,0.000,46.988,-117.002
32399.000,1.124,-1.280,-0.899,0.000,46.988,-117.002
32406.000,1.215,-1.052,-0.915,0.000,46.988,-117.003
