Alt,u,v,temp,bv2
24413.000,-1.735,1.117,-0.138,0.000
24419.000,-1.825,1.141,-0.149,0.000
24425.000,-1.877,1.351,-0.060,0.001
24431.000,-1.965,1.377,-0.071,0.001
24437.000,-2.012,1.591,-0.081,0.000
24442.000,-2.100,1.618,-0.092,0.000
24448.000,-2.143,1.837,-0.103,0.001
24454.000,-2.230,1.866,-0.114,0.001
24460.000,-2.267,2.089,-0.125,0.000
24466.000,-2.354,2.119,-0.036,0.000
24472.000,-2.387,2.346,-0.047,0.001
24478.000,-2.377,2.350,-0.058,0.001
24484.000,-2.271,2.327,-0.069,0.000
24489.000,-2.261,2.331,-0.080,0.001
24495.000,-2.252,2.335,-0.090,0.001
24501.000,-2.242,2.339,-0.101,0.000
24507.000,-2.232,2.343,-0.012,0.000
24513.000,-2.222,2.346,-0.023,0.001
24519.000,-2.213,2.350,-0.033,0.001
24525.000,-2.203,2.353,-0.044,0.000
24530.000,-2.193,2.357,-0.055,0.000
24536.000,-2.183,2.360,-0.066,0.001
24542.000,-2.173,2.363,-0.076,0.001
24548.000,-2.163,2.367,0.013,0.000
24554.000,-2.153,2.370,0.003,0.000
24560.000,-2.144,2.373,-0.008,0.001
24566.000,-2.134,2.376,-0.019,0.001
24571.000,-2.124,2.379,-0.029,0.000
24577.000,-2.114,2.381,-0.040,0.000
24583.000,-2.008,2.357,0.050,0.001
24589.000,-1.998,2.359,0.039,0.001
24595.000,-1.987,2.362,0.029,0.000
24600.000,-1.934,2.146,0.018,0.000
24606.000,-1.924,2.149,0.008,0.001
24612.000,-1.818,2.126,-0.002,0.001
24618.000,-1.712,2.103,0.087,0.000
24624.000,-1.751,1.917,0.077,0.001
24629.000,-1.644,1.895,0.067,0.001
24635.000,-1.537,1.874,0.056,0.000
24641.000,-1.527,1.877,0.146,0.000
24647.000,-1.465,1.671,0.136,0.001
24653.000,-1.456,1.675,0.125,0.001
24658.000,-1.349,1.655,0.115,0.000
24664.000,-1.242,1.636,0.105,0.000
24670.000,-1.273,1.457,0.195,0.001
24676.000,-1.166,1.440,0.184,0.001
24682.000,-1.157,1.443,0.174,0.000
24687.000,-1.050,1.426,0.164,0.000
24693.000,-1.078,1.250,0.254,0.001
24699.000,-0.971,1.234,0.243,0.001
24705.000,-0.863,1.219,0.233,0.000
24711.000,-1.084,1.080,0.223,0.000
24717.000,-1.173,1.101,0.312,0.001
24722.000,-1.263,1.122,0.302,0.001
24728.000,-1.352,1.144,0.292,0.000
24734.000,-1.472,0.977,0.281,0.000
24740.000,-1.562,0.997,0.371,0.001
24746.000,-1.750,1.032,0.360,0.001
24751.000,-1.839,1.051,0.350,0.000
24757.000,-1.958,0.874,0.339,0.000
