Alt,u,v,temp,bv2,lat,long
22105.000,0.079,-2.463,0.138,0.001,46.971,-116.703
22111.000,0.090,-2.459,0.134,0.000,46.971,-116.703
22116.000,0.101,-2.570,0.130,0.001,46.971,-116.703
22122.000,0.112,-2.567,0.126,0.001,46.971,-116.703
22128.000,0.123,-2.563,0.122,0.000,46.971,-116.704
22133.000,0.035,-2.560,0.118,0.001,46.971,-116.704
22139.000,0.047,-2.673,0.114,0.001,46.971,-116.704
22144.000,0.059,-2.670,0.110,0.000,46.971,-116.704
22150.000,0.070,-2.667,0.106,0.001,46.971,-116.704
22155.000,0.082,-2.664,0.102,0.001,46.971,-116.704
22161.000,-0.007,-2.663,0.098,0.000,46.971,-116.704
22166.000,0.004,-2.542,0.094,0.000,46.971,-116.704
22172.000,-0.084,-2.539,-0.010,0.000,46.971,-116.704
22178.000,-0.172,-2.415,-0.014,0.001,46.971,-116.704
22183.000,-0.260,-2.411,-0.019,0.001,46.971,-116.705
22189.000,-0.245,-2.285,-0.023,0.000,46.971,-116.705
22194.000,-0.328,-2.154,-0.027,0.001,46.971,-116.705
22200.000,-0.416,-2.147,-0.031,0.001,46.971,-116.705
22205.000,-0.497,-2.011,-0.035,0.000,46.971,-116.705
22211.000,-0.485,-2.009,-0.040,0.001,46.971,-116.705
22216.000,-0.563,-1.870,-0.044,0.001,46.971,-116.705
22222.000,-0.651,-1.860,-0.048,0.000,46.971,-116.705
22228.000,-0.727,-1.716,-0.052,0.001,46.971,-116.705
22233.000,-0.815,-1.704,-0.057,0.001,46.971,-116.706
22239.000,-0.803,-1.702,-0.061,0.000,46.971,-116.706
22244.000,-0.876,-1.553,-0.065,0.001,46.971,-116.706
22250.000,-0.964,-1.539,-0.069,0.001,46.971,-116.706
22255.000,-1.034,-1.386,-0.074,0.001,46.971,-116.706
22261.000,-1.122,-1.370,-0.078,0.001,46.971,-116.706
22266.000,-1.189,-1.212,-0.082,-0.000,46.971,-116.706
22272.000,-1.080,-1.226,-0.187,0.000,46.971,-116.706
22278.000,-1.069,-1.225,-0.191,0.001,46.971,-116.706
22283.000,-0.936,-1.099,-0.195,0.000,46.971,-116.706
22289.000,-0.926,-1.098,-0.200,0.001,46.971,-116.707
22294.000,-0.916,-1.096,-0.204,0.001,46.971,-116.707
22300.000,-0.781,-0.975,-0.208,0.000,46.971,-116.707
22305.000,-0.771,-0.973,-0.213,0.001,46.971,-116.707
22311.000,-0.761,-0.972,-0.217,0.001,46.971,-116.707
22316.000,-0.625,-0.855,-0.222,0.000,46.972,-116.707
22322.000,-0.615,-0.853,-0.226,0.001,46.972,-116.707
22327.000,-0.605,-0.852,-0.230,0.001,46.972,-116.707
22333.000,-0.468,-0.738,-0.235,0.000,46.972,-116.707
22338.000,-0.459,-0.736,-0.239,0.001,46.972,-116.707
22344.000,-0.352,-0.758,-0.244,0.000,46.972,-116.707
22349.000,-0.312,-0.626,-0.348,-0.000,46.972,-116.708
22355.000,-0.303,-0.624,-0.353,0.001,46.972,-116.708
22360.000,-0.164,-0.519,-0.357,0.001,46.972,-116.708
22366.000,-0.156,-0.518,-0.362,0.001,46.972,-116.708
22371.000,-0.148,-0.517,-0.366,0.001,46.972,-116.708
22377.000,-0.008,-0.415,-0.371,0.000,46.972,-116.708
22382.000,-0.036,-0.540,-0.376,0.001,46.972,-116.708
22388.000,0.068,-0.565,-0.380,0.001,46.972,-116.708
22393.000,0.043,-0.689,-0.385,0.000,46.972,-116.708
22399.000,0.147,-0.713,-0.389,0.001,46.972,-116.708
22404.000,0.124,-0.836,-0.394,0.001,46.972,-116.708
22410.000,0.228,-0.857,-0.399,0.000,46.972,-116.709
22415.000,0.207,-0.979,-0.403,0.001,46.972,-116.709
22421.000,0.213,-0.979,-0.408,0.001,46.972,-116.709
22426.000,0.292,-1.120,-0.413,0.000,46.972,-116.709
22432.000,0.298,-1.119,-0.417,0.001,46.972,-116.709
22437.000,0.379,-1.258,-0.422,0.001,46.972,-116.709
22443.000,0.385,-1.257,-0.427,-0.000,46.972,-116.709
22448.000,0.469,-1.393,-0.531,0.000,46.972,-116.709
22454.000,0.474,-1.392,-0.536,0.001,46.972,-116.709
22459.000,0.560,-1.524,-0.541,0.000,46.972,-116.709
22465.000,0.565,-1.523,-0.545,0.001,46.972,-116.709
22470.000,0.554,-1.639,-0.550,0.001,46.972,-116.710
22475.000,0.658,-1.650,-0.555,0.000,46.972,-116.710
22481.000,0.650,-1.765,-0.560,0.001,46.972,-116.710
22486.000,0.743,-1.889,-0.564,0.001,46.972,-116.710
22492.000,0.648,-1.879,-0.569,0.000,46.972,-116.710
22497.000,0.543,-1.987,-0.574,0.001,46.972,-116.710
22503.000,0.440,-2.099,-0.579,0.001,46.972,-116.710
22508.000,0.439,-2.218,-0.584,0.000,46.972,-116.710
22514.000,0.340,-2.335,-0.588,0.001,46.972,-116.710
22519.000,0.244,-2.331,-0.593,0.001,46.972,-116.711
22524.000,0.146,-2.453,-0.598,0.000,46.972,-116.711
