Alt,u,v,temp,bv2
15833.000,-4.687,2.917,-0.233,-0.060
15838.000,-4.668,3.110,-0.227,-0.054
15843.000,-4.646,3.203,-0.220,-0.056
15848.000,-4.627,3.396,-0.214,0.400
15853.000,-4.606,3.489,-0.308,0.238
15857.000,-4.343,3.684,-0.301,-0.046
15862.000,-4.321,3.778,-0.295,-0.042
15867.000,-4.299,3.971,-0.289,-0.043
15872.000,-4.277,4.065,-0.282,0.432
15876.000,-4.256,4.258,-0.376,0.324
15881.000,-4.234,4.352,-0.369,-0.034
15886.000,-3.955,4.444,-0.363,-0.034
15891.000,-3.931,4.638,-0.356,-0.040
15895.000,-3.908,4.732,-0.350,-0.040
15900.000,-3.886,4.826,-0.344,0.250
15905.000,-3.598,4.914,-0.437,0.196
15910.000,-3.571,5.108,-0.431,-0.028
15915.000,-3.548,5.203,-0.425,-0.033
15919.000,-3.525,5.298,-0.418,-0.034
15924.000,-3.503,5.393,-0.412,0.208
15929.000,-3.198,5.576,-0.505,0.169
15934.000,-3.175,5.672,-0.499,-0.028
15938.000,-3.152,5.768,-0.492,-0.029
15943.000,-3.130,5.864,-0.486,-0.025
15948.000,-3.107,5.961,-0.480,0.254
15952.000,-3.080,6.157,-0.573,0.213
15957.000,-2.767,6.237,-0.567,-0.022
15962.000,-2.743,6.334,-0.560,-0.025
15966.000,-2.713,6.531,-0.554,-0.026
15971.000,-2.690,6.629,-0.547,0.223
15975.000,-2.674,6.628,-0.641,0.191
15980.000,-2.352,6.703,-0.635,-0.022
15984.000,-2.327,6.801,-0.628,0.116
15989.000,-2.312,6.801,-0.722,0.101
15993.000,-2.288,6.900,-0.715,-0.019
15998.000,-1.960,6.970,-0.709,-0.020
16002.000,-1.945,6.970,-0.703,0.104
16007.000,-1.920,7.070,-0.796,0.092
16011.000,-1.895,7.170,-0.790,-0.017
16016.000,-1.880,7.171,-0.783,-0.017
16020.000,-1.547,7.236,-0.777,0.094
16025.000,-1.520,7.337,-0.871,0.084
16029.000,-1.506,7.338,-0.864,-0.016
16034.000,-1.479,7.439,-0.858,0.143
16038.000,-1.140,7.499,-0.951,0.128
16043.000,-1.126,7.501,-0.945,-0.015
16047.000,-1.098,7.602,-0.939,-0.014
16052.000,-1.070,7.703,-0.932,0.132
16056.000,-1.057,7.706,-1.026,0.119
16061.000,-0.711,7.760,-1.020,-0.014
16065.000,-0.698,7.762,-1.013,-0.013
16070.000,-0.684,7.765,-1.007,0.086
16075.000,-0.686,7.669,-1.101,0.066
16079.000,-0.673,7.672,-1.094,-0.013
