Alt,u,v,temp,bv2,lat,long
28314.000,0.642,-0.158,1.012,0.002,46.983,-116.870
28320.000,0.646,-0.160,1.002,0.000,46.983,-116.870
28326.000,0.643,-0.429,0.992,0.000,46.983,-116.870
28332.000,0.647,-0.431,0.981,0.000,46.983,-116.871
28338.000,0.648,-0.700,0.971,0.000,46.983,-116.871
28344.000,0.654,-0.969,0.961,0.000,46.983,-116.871
28349.000,0.558,-0.973,1.051,0.002,46.983,-116.871
28355.000,0.569,-1.244,1.040,0.002,46.983,-116.872
28361.000,0.573,-1.246,1.030,0.000,46.983,-116.872
28367.000,0.389,-1.527,1.020,0.000,46.983,-116.872
28373.000,0.292,-1.535,1.010,0.000,46.983,-116.872
28379.000,0.196,-1.542,0.999,0.000,46.983,-116.872
28385.000,0.100,-1.549,0.989,0.000,46.983,-116.873
28391.000,-0.096,-1.562,0.979,0.002,46.983,-116.873
28397.000,-0.192,-1.569,0.968,0.002,46.983,-116.873
28403.000,-0.288,-1.577,0.958,0.000,46.983,-116.873
28409.000,-0.485,-1.589,0.948,0.000,46.982,-116.874
28414.000,-0.581,-1.597,1.037,0.000,46.982,-116.874
28420.000,-0.677,-1.604,1.027,0.000,46.982,-116.874
28426.000,-0.855,-1.911,1.017,0.000,46.982,-116.874
28432.000,-0.951,-1.920,1.006,0.002,46.982,-116.874
28438.000,-1.048,-1.929,0.996,0.002,46.982,-116.875
28444.000,-1.144,-1.939,0.986,0.000,46.982,-116.875
28450.000,-1.340,-1.955,0.975,0.000,46.982,-116.875
28456.000,-1.436,-1.964,0.965,0.000,46.982,-116.875
28462.000,-1.533,-1.973,0.955,0.000,46.982,-116.876
28468.000,-1.729,-1.989,0.944,0.000,46.982,-116.876
28474.000,-1.825,-1.998,0.934,0.002,46.982,-116.876
28480.000,-1.921,-2.008,0.923,0.002,46.982,-116.876
28487.000,-2.018,-2.017,0.913,0.000,46.982,-116.877
28493.000,-2.114,-2.026,0.902,0.000,46.982,-116.877
28499.000,-2.111,-2.028,0.892,0.000,46.982,-116.877
28505.000,-2.207,-2.037,0.882,0.000,46.982,-116.877
28511.000,-2.304,-2.046,0.871,0.002,46.982,-116.878
28517.000,-2.300,-2.049,0.861,0.002,46.982,-116.878
28523.000,-2.397,-2.058,0.850,0.000,46.982,-116.878
28529.000,-2.493,-2.067,0.840,0.000,46.982,-116.878
28535.000,-2.510,-1.745,0.829,0.000,46.982,-116.879
28541.000,-2.606,-1.753,0.819,0.000,46.982,-116.879
28547.000,-2.703,-1.760,0.808,0.000,46.982,-116.879
28553.000,-2.700,-1.762,0.798,0.002,46.982,-116.879
28559.000,-2.797,-1.770,0.787,0.002,46.982,-116.880
28566.000,-2.893,-1.777,0.777,0.000,46.982,-116.880
28572.000,-2.890,-1.780,0.766,0.000,46.982,-116.880
28578.000,-2.987,-1.787,0.756,0.000,46.982,-116.880
28584.000,-3.084,-1.794,0.745,0.000,46.982,-116.881
28590.000,-3.081,-1.797,0.735,0.000,46.982,-116.881
28596.000,-3.177,-1.804,0.724,0.002,46.982,-116.881
