Alt,u,v,temp,bv2,lat,long
4187.000,-0.989,-1.321,0.363,0.000,46.761,-116.955
4192.000,-0.995,-1.314,0.292,0.000,46.761,-116.955
4197.000,-1.170,-1.161,0.320,0.000,46.761,-116.955
4202.000,-1.175,-1.154,0.349,-0.000,46.761,-116.955
4207.000,-1.181,-1.146,0.278,0.000,46.761,-116.955
4211.000,-1.279,-1.178,0.306,0.000,46.762,-116.954
4216.000,-1.284,-1.171,0.235,-0.000,46.762,-116.954
4221.000,-1.290,-1.164,0.264,0.000,46.762,-116.954
4226.000,-1.295,-1.157,0.292,0.000,46.762,-116.954
4231.000,-1.393,-1.188,0.221,-0.000,46.762,-116.954
4235.000,-1.398,-1.181,0.250,-0.000,46.762,-116.954
4240.000,-1.403,-1.174,0.178,0.000,46.762,-116.954
4245.000,-1.501,-1.206,0.207,0.000,46.762,-116.954
4250.000,-1.506,-1.198,0.136,-0.000,46.762,-116.953
4255.000,-1.511,-1.191,0.165,0.000,46.762,-116.953
4259.000,-1.608,-1.223,0.194,0.000,46.762,-116.953
4264.000,-1.614,-1.215,0.122,-0.000,46.762,-116.953
4269.000,-1.619,-1.208,0.151,0.000,46.762,-116.953
4274.000,-1.624,-1.200,0.180,0.000,46.762,-116.953
4279.000,-1.721,-1.232,0.209,0.000,46.762,-116.953
4283.000,-1.726,-1.224,0.138,-0.000,46.762,-116.952
4288.000,-1.715,-1.002,0.167,0.000,46.762,-116.952
4293.000,-1.720,-0.994,0.196,0.000,46.762,-116.952
4298.000,-1.634,-0.946,0.225,0.000,46.762,-116.952
4304.000,-1.547,-0.898,0.154,0.000,46.762,-116.952
4309.000,-1.552,-0.890,0.183,0.000,46.762,-116.952
4314.000,-1.547,-0.663,0.211,0.000,46.762,-116.952
4319.000,-1.461,-0.613,0.240,0.000,46.762,-116.951
4324.000,-1.375,-0.563,0.169,0.000,46.763,-116.951
4329.000,-1.380,-0.555,0.198,0.000,46.763,-116.951
4334.000,-1.381,-0.323,0.227,0.000,46.763,-116.951
4339.000,-1.296,-0.271,0.257,-0.000,46.763,-116.951
4344.000,-1.301,-0.264,0.186,-0.000,46.763,-116.951
4349.000,-1.215,-0.212,0.215,0.000,46.763,-116.951
4354.000,-1.130,-0.161,0.244,0.000,46.763,-116.950
4359.000,-1.138,0.078,0.173,0.000,46.763,-116.950
4364.000,-1.142,0.086,0.202,0.000,46.763,-116.950
4369.000,-1.057,0.139,0.231,0.000,46.763,-116.950
4374.000,-0.973,0.192,0.260,-0.000,46.763,-116.950
4379.000,-0.888,0.245,0.189,0.000,46.763,-116.950
4384.000,-0.892,0.253,0.218,0.000,46.763,-116.950
4389.000,-0.807,0.306,0.248,0.000,46.763,-116.949
4394.000,-0.811,0.314,0.277,-0.000,46.763,-116.949
4399.000,-0.726,0.367,0.206,-0.000,46.763,-116.949
4404.000,-0.731,0.375,0.235,0.000,46.763,-116.949
4409.000,-0.645,0.428,0.165,0.000,46.763,-116.949
4414.000,-0.650,0.436,0.194,0.000,46.763,-116.949
4419.000,-0.564,0.489,0.223,-0.000,46.763,-116.948
4424.000,-0.568,0.497,0.152,-0.000,46.764,-116.948
4429.000,-0.483,0.551,0.182,0.000,46.764,-116.948
4434.000,-0.487,0.559,0.211,0.000,46.764,-116.948
4439.000,-0.402,0.612,0.140,0.000,46.764,-116.948
4444.000,-0.406,0.620,0.170,0.000,46.764,-116.948
4449.000,-0.219,0.470,0.099,-0.000,46.764,-116.948
4454.000,-0.223,0.478,0.128,0.000,46.764,-116.947
4459.000,-0.137,0.530,0.158,0.000,46.764,-116.947
4464.000,-0.140,0.538,0.087,0.000,46.764,-116.947
4469.000,-0.054,0.590,0.117,0.000,46.764,-116.947
4475.000,-0.058,0.597,0.146,0.000,46.764,-116.947
4480.000,0.029,0.649,0.175,-0.000,46.764,-116.947
4485.000,0.025,0.657,0.105,-0.000,46.764,-116.947
4490.000,0.022,0.665,0.134,0.000,46.764,-116.946
4495.000,0.028,0.422,0.164,0.000,46.764,-116.946
4500.000,-0.066,0.387,0.093,0.000,46.764,-116.946
4505.000,-0.160,0.353,0.123,0.000,46.764,-116.946
4510.000,-0.070,0.155,0.152,0.000,46.764,-116.946
4515.000,-0.164,0.122,0.182,-0.000,46.764,-116.946
4520.000,-0.259,0.090,0.112,0.000,46.764,-116.946
4526.000,-0.173,-0.107,0.141,0.000,46.764,-116.945
4531.000,-0.268,-0.138,0.171,0.000,46.764,-116.945
4536.000,-0.363,-0.169,0.100,0.000,46.764,-116.945
4541.000,-0.282,-0.364,0.130,0.000,46.765,-116.945
4546.000,-0.378,-0.394,0.160,0.000,46.765,-116.945
4551.000,-0.474,-0.423,0.189,0.000,46.765,-116.945
4556.000,-0.398,-0.616,0.219,0.000,46.765,-116.944
4561.000,-0.494,-0.644,0.149,0.000,46.765,-116.944
4566.000,-0.590,-0.671,0.178,0.000,46.765,-116.944
4571.000,-0.518,-0.863,0.208,0.000,46.765,-116.944
4577.000,-0.615,-0.889,0.238,0.000,46.765,-116.944
4582.000,-0.642,-1.112,0.168,0.000,46.765,-116.944
4587.000,-0.645,-1.104,0.197,0.000,46.765,-116.944
4592.000,-0.742,-1.128,0.227,0.000,46.765,-116.943
4596.000,-0.745,-1.120,0.257,0.000,46.765,-116.943
4601.000,-0.842,-1.144,0.187,-0.000,46.765,-116.943
4606.000,-0.779,-1.332,0.216,0.000,46.765,-116.943
4611.000,-0.782,-1.323,0.246,0.000,46.765,-116.943
4616.000,-0.880,-1.346,0.176,-0.000,46.765,-116.943
4621.000,-0.882,-1.338,0.206,0.000,46.765,-116.943
4626.000,-0.980,-1.360,0.236,-0.000,46.765,-116.942
4631.000,-0.982,-1.352,0.166,-0.000,46.765,-116.942
4636.000,-0.985,-1.344,0.196,0.000,46.765,-116.942
