Alt,u,v,temp,bv2
22338.000,-1.062,-0.227,-0.207,0.001
22344.000,-0.958,-0.243,-0.212,0.000
22349.000,-0.920,-0.106,-0.317,-0.000
22355.000,-0.914,-0.099,-0.323,0.001
22360.000,-0.777,0.011,-0.328,0.001
22366.000,-0.770,0.018,-0.333,0.001
22371.000,-0.762,0.025,-0.338,0.001
22377.000,-0.623,0.132,-0.344,0.000
22382.000,-0.650,0.013,-0.349,0.001
22388.000,-0.545,-0.006,-0.354,0.001
22393.000,-0.569,-0.124,-0.359,0.000
22399.000,-0.463,-0.142,-0.365,0.001
22404.000,-0.483,-0.258,-0.370,0.001
22410.000,-0.376,-0.273,-0.375,0.000
22415.000,-0.393,-0.388,-0.381,0.001
22421.000,-0.383,-0.380,-0.386,0.001
22426.000,-0.300,-0.514,-0.392,0.000
22432.000,-0.289,-0.506,-0.397,0.001
22437.000,-0.202,-0.637,-0.402,0.001
22443.000,-0.191,-0.628,-0.408,-0.000
22448.000,-0.100,-0.755,-0.513,0.000
22454.000,-0.088,-0.746,-0.519,0.001
22459.000,0.006,-0.870,-0.524,0.000
22465.000,0.018,-0.861,-0.529,0.001
22470.000,0.016,-0.969,-0.535,0.001
22475.000,0.129,-0.972,-0.540,0.000
22481.000,0.130,-1.078,-0.545,0.001
22486.000,0.233,-1.194,-0.551,0.001
22492.000,0.148,-1.175,-0.556,0.000
22497.000,0.054,-1.275,-0.562,0.001
22503.000,-0.038,-1.378,-0.567,0.001
22508.000,-0.027,-1.489,-0.573,0.000
22514.000,-0.114,-1.597,-0.578,0.001
22519.000,-0.198,-1.585,-0.584,0.001
22524.000,-0.282,-1.699,-0.589,0.000
22530.000,-0.364,-1.816,-0.595,0.001
22535.000,-0.443,-1.936,-0.601,0.001
22541.000,-0.426,-1.926,-0.606,0.000
22546.000,-0.503,-2.049,-0.612,0.001
22552.000,-0.577,-2.176,-0.618,0.001
22557.000,-0.658,-2.172,-0.623,0.000
22563.000,-0.729,-2.304,-0.629,0.001
22568.000,-0.797,-2.439,-0.635,0.001
22573.000,-0.877,-2.439,-0.640,0.000
22579.000,-0.942,-2.580,-0.646,0.001
22584.000,-1.002,-2.724,-0.652,0.001
22590.000,-1.082,-2.728,-0.657,0.000
22595.000,-1.138,-2.877,-0.663,0.001
22601.000,-1.139,-2.722,-0.669,0.001
22606.000,-1.217,-2.726,-0.675,0.000
22612.000,-1.295,-2.731,-0.680,0.000
22617.000,-1.392,-2.585,-0.786,0.000
22623.000,-1.369,-2.575,-0.792,0.000
22628.000,-1.446,-2.578,-0.798,0.001
22634.000,-1.540,-2.427,-0.803,0.001
22639.000,-1.616,-2.429,-0.809,0.000
22645.000,-1.593,-2.421,-0.815,0.001
22650.000,-1.683,-2.265,-0.820,0.001
22656.000,-1.759,-2.266,-0.826,-0.000
22661.000,-1.834,-2.267,-0.931,0.000
22667.000,-1.922,-2.104,-0.937,0.001
22672.000,-1.896,-2.097,-0.942,0.000
22678.000,-1.971,-2.097,-0.948,0.001
22683.000,-2.056,-1.930,-0.954,0.001
22689.000,-2.131,-1.929,-0.959,0.000
22694.000,-2.206,-1.929,-0.965,0.001
22700.000,-2.180,-1.923,-0.970,0.001
22705.000,-2.263,-1.750,-0.976,-0.000
22711.000,-2.338,-1.748,-1.081,0.000
22716.000,-2.317,-1.569,-1.086,0.001
22722.000,-2.392,-1.566,-1.092,0.000
22727.000,-2.368,-1.386,-1.097,0.001
22733.000,-2.443,-1.382,-1.103,0.001
22739.000,-2.417,-1.200,-1.108,0.000
22744.000,-2.492,-1.195,-1.113,0.001
22750.000,-2.462,-1.013,-1.118,0.001
22755.000,-2.537,-1.006,-1.123,0.000
22761.000,-2.505,-0.823,-1.129,0.001
22766.000,-2.581,-0.815,-1.134,0.001
22772.000,-2.546,-0.631,-1.139,0.000
22777.000,-2.622,-0.623,-1.144,0.000
22783.000,-2.584,-0.437,-1.148,0.001
22788.000,-2.660,-0.428,-1.153,0.001
22794.000,-2.619,-0.242,-1.158,0.000
22799.000,-2.696,-0.231,-1.163,0.001
22805.000,-2.751,-0.032,-1.168,0.001
22811.000,-2.729,-0.033,-1.173,0.000
22816.000,-2.781,0.169,-1.177,0.001
22822.000,-2.661,0.154,-1.182,0.001
22827.000,-2.512,0.324,-1.187,0.000
22833.000,-2.491,0.322,-1.191,0.001
22839.000,-2.341,0.489,-1.196,0.001
22844.000,-2.188,0.650,-1.200,0.000
22850.000,-2.069,0.628,-1.205,0.001
22855.000,-2.013,0.805,-1.209,0.001
22861.000,-1.895,0.780,-1.214,0.000
22867.000,-1.739,0.932,-1.218,0.001
22872.000,-1.678,1.103,-1.222,0.001
22878.000,-1.562,1.074,-1.227,0.000
22883.000,-1.403,1.216,-1.231,0.001
22889.000,-1.337,1.381,-1.235,0.001
22895.000,-1.223,1.349,-1.239,0.000
22900.000,-1.061,1.482,-1.243,0.001
22906.000,-0.992,1.642,-1.247,0.001
22911.000,-0.880,1.606,-1.251,0.000
22917.000,-0.810,1.763,-1.255,0.001
22922.000,-0.643,1.885,-1.259,0.001
22928.000,-0.627,1.880,-1.263,0.000
22934.000,-0.518,1.841,-1.267,0.001
22939.000,-0.410,1.801,-1.271,0.001
22945.000,-0.451,1.639,-1.275,0.000
22950.000,-0.342,1.601,-1.279,0.001
22956.000,-0.286,1.408,-1.283,0.001
22961.000,-0.272,1.402,-1.287,0.000
22967.000,-0.165,1.365,-1.291,0.001
22972.000,-0.105,1.177,-1.295,0.001
22978.000,-0.093,1.171,-1.199,0.000
22983.000,-0.030,0.984,-1.203,0.000
22988.000,-0.018,0.978,-1.207,0.001
22994.000,0.048,0.794,-1.211,0.001
22999.000,0.156,0.762,-1.214,0.000
23005.000,0.167,0.755,-1.218,0.001
23010.000,0.236,0.575,-1.222,0.001
23016.000,0.247,0.568,-1.126,0.000
23021.000,0.319,0.391,-1.130,0.001
23027.000,0.329,0.384,-1.134,0.001
23032.000,0.404,0.210,-1.138,0.000
23037.000,0.511,0.183,-1.142,0.001
23043.000,0.520,0.176,-1.146,0.001
23048.000,0.528,0.169,-1.050,0.000
23054.000,0.569,0.306,-1.053,0.000
23059.000,0.480,0.322,-1.057,0.001
23065.000,0.487,0.315,-1.062,0.001
23070.000,0.495,0.308,-1.065,0.000
23075.000,0.503,0.301,-0.969,0.001
23081.000,0.545,0.438,-0.973,0.001
23086.000,0.552,0.432,-0.977,0.000
23092.000,0.560,0.426,-0.981,0.001
23097.000,0.567,0.420,-0.985,0.001
23103.000,0.611,0.557,-0.889,0.000
23108.000,0.618,0.551,-0.893,0.000
23114.000,0.626,0.545,-0.897,0.001
23119.000,0.633,0.539,-0.901,0.001
23124.000,0.640,0.533,-0.905,0.000
23130.000,0.687,0.670,-0.809,0.001
23135.000,0.695,0.665,-0.813,0.001
23140.000,0.702,0.659,-0.816,0.000
23146.000,0.710,0.654,-0.820,0.001
23151.000,0.664,0.821,-0.824,0.001
23156.000,0.672,0.816,-0.728,0.000
23162.000,0.584,0.840,-0.732,0.000
23167.000,0.593,0.836,-0.736,0.001
23173.000,0.646,0.976,-0.740,0.001
23178.000,0.559,1.003,-0.744,0.000
23183.000,0.568,0.999,-0.648,0.001
23189.000,0.481,1.026,-0.652,0.001
23194.000,0.538,1.170,-0.655,0.000
23199.000,0.452,1.199,-0.659,0.001
23205.000,0.460,1.196,-0.663,0.001
23210.000,0.374,1.225,-0.567,0.000
23215.000,0.435,1.372,-0.571,0.000
23221.000,0.443,1.370,-0.575,0.001
23226.000,0.357,1.402,-0.579,0.001
23232.000,0.365,1.399,-0.583,0.000
23237.000,0.336,1.583,-0.487,0.001
23242.000,0.345,1.581,-0.490,0.001
23248.000,0.259,1.615,-0.494,0.000
23253.000,0.267,1.614,-0.498,0.000
23258.000,0.275,1.612,-0.502,0.001
23264.000,0.343,1.763,-0.406,0.001
23269.000,0.351,1.762,-0.410,0.000
23274.000,0.358,1.760,-0.414,0.001
23280.000,0.459,1.721,-0.419,0.001
23285.000,0.528,1.870,-0.323,0.000
23291.000,0.536,1.869,-0.327,0.001
23296.000,0.543,1.868,-0.331,0.001
23302.000,0.551,1.867,-0.335,0.000
23307.000,0.558,1.865,-0.239,0.000
23312.000,0.721,1.972,-0.244,0.001
23318.000,0.729,1.970,-0.248,0.001
23323.000,0.736,1.968,-0.152,0.000
23329.000,0.743,1.966,-0.157,0.001
23334.000,0.817,2.110,-0.161,0.001
23339.000,0.824,2.108,-0.166,0.000
23345.000,0.831,2.106,-0.170,0.000
23350.000,0.930,2.062,-0.074,0.001
23356.000,1.006,2.203,-0.079,0.001
23361.000,1.013,2.201,-0.083,0.000
23367.000,0.862,2.098,-0.088,0.001
23372.000,0.870,2.096,0.008,0.001
23377.000,0.720,1.989,0.003,0.000
23383.000,0.636,2.028,-0.002,0.000
23388.000,0.579,1.875,-0.006,0.001
23394.000,0.495,1.913,-0.011,0.001
