Alt,u,v,temp,bv2
25131.000,0.872,1.261,0.380,0.000
25137.000,0.952,1.082,0.368,0.000
25143.000,1.062,1.065,0.357,0.000
25148.000,1.145,0.890,0.345,0.001
25154.000,1.254,0.875,0.334,0.001
25160.000,1.265,0.876,0.323,0.000
25166.000,1.275,0.878,0.311,0.000
25171.000,1.286,0.879,0.300,0.001
25177.000,1.322,1.037,0.289,0.001
25183.000,1.332,1.039,0.277,0.000
25189.000,1.342,1.041,0.266,0.000
25194.000,1.352,1.043,0.255,0.001
25200.000,1.361,1.046,0.243,0.001
25206.000,1.371,1.048,0.232,0.000
25212.000,1.380,1.051,0.321,0.000
25217.000,1.389,1.054,0.310,0.000
25223.000,1.300,1.074,0.298,0.001
25229.000,1.338,1.235,0.287,0.001
25235.000,1.346,1.239,0.276,0.000
25240.000,1.355,1.242,0.265,0.000
25246.000,1.363,1.246,0.254,0.001
25252.000,1.371,1.250,0.243,0.001
25258.000,1.379,1.254,0.231,0.000
25263.000,1.387,1.258,0.220,0.000
25269.000,1.395,1.262,0.209,0.001
25275.000,1.403,1.267,0.198,0.001
25281.000,1.382,1.113,0.187,0.000
25287.000,1.291,1.135,0.176,0.000
25292.000,1.273,0.979,0.165,0.000
25298.000,1.281,0.984,0.154,0.002
25304.000,1.290,0.988,0.243,0.002
25310.000,1.175,0.846,0.232,0.000
25316.000,1.184,0.851,0.220,0.000
25322.000,1.171,0.693,0.210,0.001
25327.000,1.180,0.698,0.199,0.001
25333.000,1.071,0.551,0.187,0.000
25339.000,1.081,0.556,0.176,0.000
25345.000,1.090,0.561,0.165,0.000
25351.000,1.084,0.401,0.154,0.001
25356.000,0.994,0.415,0.143,0.001
25362.000,0.990,0.254,0.132,0.000
25368.000,1.000,0.259,0.221,0.000
25374.000,1.000,0.097,0.210,0.001
25380.000,0.910,0.108,0.199,0.001
25385.000,0.920,0.113,0.188,0.000
25391.000,0.824,-0.047,0.177,0.000
25397.000,0.835,-0.043,0.166,0.001
25403.000,0.741,-0.207,0.156,0.001
25409.000,0.652,-0.201,0.145,0.000
25414.000,0.662,-0.371,0.134,0.000
25420.000,0.574,-0.367,0.123,0.000
25426.000,0.488,-0.542,0.112,0.001
25432.000,0.401,-0.540,0.101,0.001
25438.000,0.418,-0.717,0.090,0.000
25444.000,0.331,-0.718,0.079,0.000
25450.000,0.244,-0.719,0.068,0.001
25455.000,0.266,-0.900,0.057,0.002
25461.000,0.180,-0.903,0.146,0.000
25467.000,0.105,-1.093,0.135,0.000
25473.000,0.020,-1.099,0.124,0.000
25479.000,0.034,-1.098,0.114,0.001
25485.000,-0.036,-1.294,0.103,0.001
25491.000,-0.120,-1.302,0.092,0.000
25497.000,-0.186,-1.504,0.081,0.000
25503.000,-0.270,-1.514,0.070,0.001
25508.000,-0.174,-1.311,0.059,0.001
25514.000,-0.159,-1.312,0.048,0.000
25520.000,-0.058,-1.113,0.037,0.000
25526.000,-0.054,-0.923,0.126,0.002
25532.000,-0.039,-0.924,0.115,0.001
25538.000,0.069,-0.730,0.104,0.000
25544.000,0.080,-0.542,0.093,0.000
25550.000,0.096,-0.544,0.083,0.000
25556.000,0.211,-0.357,0.072,0.001
25562.000,0.229,-0.171,0.061,0.001
25567.000,0.245,-0.174,0.050,0.000
25573.000,0.267,0.012,0.039,0.000
25579.000,0.392,0.192,0.028,0.001
25585.000,0.408,0.188,0.017,0.001
25591.000,0.437,0.370,0.006,0.000
25597.000,0.469,0.552,-0.005,0.000
25603.000,0.586,0.539,-0.015,0.000
25609.000,0.621,0.719,-0.026,0.001
25615.000,0.659,0.898,-0.037,0.001
25621.000,0.700,1.077,-0.048,0.000
25628.000,0.718,1.072,-0.059,0.000
25634.000,0.735,1.066,-0.070,0.001
25640.000,0.878,1.228,-0.081,0.001
25646.000,0.895,1.223,-0.092,0.000
25652.000,0.911,1.217,-0.103,0.000
25659.000,0.958,1.392,-0.114,0.002
