Alt,u,v,temp,bv2
14078.000,2.106,-0.035,0.964,0.000
14083.000,2.015,-0.076,0.965,0.000
14088.000,2.017,-0.080,0.966,0.000
14092.000,2.021,-0.376,0.967,0.000
14097.000,2.024,-0.380,0.968,0.000
14101.000,2.026,-0.384,0.969,0.000
14106.000,1.935,-0.423,0.970,0.000
14110.000,1.937,-0.427,0.971,0.000
14115.000,1.846,-0.466,0.973,0.000
14119.000,1.755,-0.505,0.974,0.000
14124.000,1.663,-0.543,0.975,0.000
14128.000,1.572,-0.582,0.976,0.000
14133.000,1.481,-0.620,0.978,0.000
14137.000,1.390,-0.659,0.979,0.000
14142.000,1.299,-0.698,0.981,0.000
14146.000,1.208,-0.736,0.982,0.000
14151.000,1.117,-0.775,0.983,-0.000
14155.000,1.027,-0.814,0.885,-0.000
14160.000,0.936,-0.853,0.887,0.001
14164.000,0.846,-0.891,0.888,0.001
14169.000,0.755,-0.930,0.890,0.000
14173.000,0.665,-0.969,0.892,0.000
14177.000,0.575,-1.008,0.893,0.000
14182.000,0.484,-1.046,0.895,0.000
14186.000,0.394,-1.085,0.897,0.000
14191.000,0.304,-1.124,0.899,0.000
14195.000,0.215,-1.163,0.901,0.000
14200.000,0.125,-1.201,0.903,0.000
14204.000,0.035,-1.240,0.905,0.000
14209.000,-0.136,-1.062,0.907,0.000
14213.000,-0.319,-1.139,0.909,0.000
14218.000,-0.408,-1.179,0.911,0.000
14222.000,-0.497,-1.220,0.914,0.000
14227.000,-0.586,-1.262,0.916,0.000
14231.000,-0.757,-1.097,0.918,0.000
14235.000,-0.845,-1.140,0.921,0.000
14240.000,-0.934,-1.183,0.923,0.000
14244.000,-1.022,-1.227,0.926,-0.000
14249.000,-1.111,-1.271,0.828,-0.000
14253.000,-1.281,-1.118,0.831,0.000
14258.000,-1.369,-1.163,0.834,0.000
14263.000,-1.456,-1.209,0.836,0.000
14267.000,-1.544,-1.255,0.839,0.000
14272.000,-1.714,-1.112,0.842,0.000
14276.000,-1.801,-1.160,0.845,0.000
14281.000,-1.888,-1.208,0.848,0.000
14285.000,-1.976,-1.257,0.851,0.000
14290.000,-2.145,-1.124,0.854,0.000
14294.000,-2.051,-1.090,0.857,0.000
14299.000,-2.133,-0.916,0.860,-0.000
14303.000,-2.130,-0.925,0.764,-0.000
14308.000,-2.216,-0.753,0.767,0.000
14313.000,-2.123,-0.716,0.770,0.000
14317.000,-2.213,-0.545,0.774,0.000
14322.000,-2.210,-0.554,0.777,0.000
14326.000,-2.217,-0.336,0.781,0.000
14331.000,-2.214,-0.345,0.685,0.000
14335.000,-2.312,-0.176,0.688,0.000
14340.000,-2.222,-0.135,0.692,0.000
14344.000,-2.325,0.033,0.696,0.000
14349.000,-2.322,0.024,0.700,-0.000
14353.000,-2.343,0.243,0.604,-0.000
14358.000,-2.341,0.233,0.608,0.000
14363.000,-2.451,0.399,0.612,0.000
14367.000,-2.365,0.444,0.617,-0.000
14372.000,-2.479,0.609,0.521,-0.000
14376.000,-2.477,0.599,0.525,0.000
14381.000,-2.513,0.819,0.530,-0.000
14385.000,-2.511,0.809,0.435,-0.000
14390.000,-2.428,0.857,0.439,0.000
14395.000,-2.551,1.020,0.444,-0.000
14399.000,-2.550,1.010,0.349,-0.000
14404.000,-2.596,1.231,0.354,-0.000
14409.000,-2.595,1.221,0.259,-0.000
14413.000,-2.593,1.211,0.264,0.000
14418.000,-2.644,1.432,0.269,-0.000
14423.000,-2.644,1.421,0.175,-0.000
14427.000,-2.643,1.411,0.180,0.000
14432.000,-2.699,1.632,0.185,-0.000
14437.000,-2.698,1.621,0.091,-0.000
14441.000,-2.836,1.778,0.096,0.000
14446.000,-2.758,1.831,0.102,-0.000
14450.000,-2.758,1.820,0.008,-0.000
14455.000,-2.824,2.041,0.014,0.000
14460.000,-2.823,2.030,0.020,-0.000
14464.000,-2.823,2.018,-0.074,-0.000
14469.000,-2.894,2.239,-0.068,0.000
