Alt,u,v,temp,bv2
31036.000,-3.011,1.006,0.174,0.000
31042.000,-3.119,1.020,0.260,0.000
31048.000,-3.093,1.337,0.246,0.000
31053.000,-3.101,1.340,0.232,0.000
31059.000,-3.069,1.657,0.218,0.003
31065.000,-3.078,1.660,0.304,0.003
31071.000,-3.040,1.975,0.290,0.000
31077.000,-3.148,1.994,0.276,0.000
31082.000,-3.104,2.310,0.262,0.000
31088.000,-3.113,2.313,0.248,0.000
31094.000,-3.064,2.629,0.333,0.000
31100.000,-3.107,2.964,0.319,0.000
31106.000,-3.116,2.967,0.305,0.000
31111.000,-3.055,3.281,0.291,0.000
31117.000,-3.162,3.307,0.377,0.000
31123.000,-3.095,3.622,0.363,0.003
31129.000,-3.104,3.625,0.348,0.003
31134.000,-3.129,3.964,0.334,0.000
31140.000,-3.041,3.941,0.420,0.000
31146.000,-2.953,3.918,0.406,0.000
31152.000,-2.876,4.229,0.391,0.000
31158.000,-2.788,4.204,0.477,0.000
31163.000,-2.797,4.207,0.463,0.000
31169.000,-2.709,4.182,0.448,0.000
31175.000,-2.533,4.458,0.434,0.000
31181.000,-2.541,4.461,0.519,0.003
31187.000,-2.454,4.434,0.505,0.003
31193.000,-2.368,4.735,0.491,0.000
31199.000,-2.282,4.707,0.476,0.000
31205.000,-2.195,4.678,0.562,0.000
31211.000,-2.105,4.974,0.547,0.000
31217.000,-2.019,4.944,0.533,0.000
31222.000,-2.028,4.947,0.618,0.000
31228.000,-1.941,4.916,0.603,0.000
31234.000,-1.848,5.207,0.589,0.000
31240.000,-1.762,5.175,0.674,0.000
31246.000,-1.770,5.177,0.660,0.003
31252.000,-1.579,5.429,0.645,0.003
31258.000,-1.599,5.114,0.630,0.000
31264.000,-1.513,5.082,0.716,0.000
31270.000,-1.427,5.050,0.701,0.000
31275.000,-1.440,4.740,0.686,0.000
31281.000,-1.353,4.710,0.771,0.000
31287.000,-1.359,4.403,0.757,0.000
31293.000,-1.272,4.375,0.742,0.000
31299.000,-1.185,4.346,0.727,0.000
31305.000,-1.184,4.044,0.812,0.000
31311.000,-1.097,4.017,0.797,0.003
31317.000,-1.089,3.719,0.783,0.003
31323.000,-1.097,3.721,0.868,0.000
31329.000,-1.009,3.695,0.853,0.000
31334.000,-0.995,3.401,0.838,0.000
31340.000,-0.907,3.377,0.923,0.000
31347.000,-0.887,3.086,0.908,0.000
31353.000,-0.798,3.064,0.893,0.000
31359.000,-0.772,2.777,0.878,0.000
31365.000,-0.682,2.756,0.863,0.000
31372.000,-0.690,2.758,0.948,0.000
31378.000,-0.659,2.475,0.933,0.003
31384.000,-0.622,2.194,0.918,0.003
31390.000,-0.531,2.177,0.902,0.000
31396.000,-0.489,1.901,0.887,0.000
31403.000,-0.441,1.627,0.972,0.000
31409.000,-0.350,1.613,0.957,0.000
31415.000,-0.297,1.343,0.942,0.000
31421.000,-0.239,1.077,0.926,0.000
31428.000,-0.246,1.078,0.911,0.000
31434.000,-0.183,0.814,0.896,0.000
31440.000,-0.115,0.554,0.981,0.000
31446.000,-0.023,0.546,0.965,0.003
31453.000,-0.050,0.297,0.950,0.003
31459.000,0.027,0.043,0.935,0.000
31465.000,0.109,-0.209,0.919,0.000
31471.000,0.102,-0.207,0.904,0.000
31478.000,0.188,-0.455,0.888,0.000
31484.000,0.279,-0.700,0.873,0.000
31490.000,0.274,-0.943,0.858,0.000
31496.000,0.366,-0.940,0.842,0.000
31503.000,0.359,-0.939,0.827,0.000
31509.000,0.458,-1.177,0.911,0.003
31515.000,0.451,-1.176,0.895,0.003
31521.000,0.444,-1.174,0.880,0.000
31528.000,0.537,-1.170,0.864,0.000
31534.000,0.531,-1.169,0.849,0.000
31540.000,0.624,-1.164,0.833,0.000
31547.000,0.627,-1.400,0.817,0.000
31554.000,0.620,-1.399,0.802,0.000
31560.000,0.713,-1.393,0.886,0.000
31567.000,0.707,-1.392,0.870,0.000
31574.000,0.800,-1.386,0.854,0.000
31580.000,0.793,-1.385,0.839,0.003
31587.000,0.786,-1.385,0.823,0.003
31594.000,0.894,-1.610,0.807,0.000
31600.000,0.887,-1.610,0.791,0.000
31607.000,0.980,-1.602,0.875,0.000
31614.000,0.974,-1.601,0.859,0.000
31620.000,0.967,-1.601,0.844,0.000
31627.000,1.061,-1.593,0.828,0.000
31634.000,1.054,-1.592,0.812,0.000
31640.000,1.048,-1.592,0.796,0.000
31647.000,1.042,-1.591,0.780,0.003
31654.000,1.035,-1.591,0.764,0.003
31660.000,1.129,-1.584,0.848,0.000
31667.000,1.122,-1.583,0.832,0.000
31674.000,1.102,-1.356,0.815,0.000
31680.000,1.096,-1.356,0.799,0.000
31687.000,1.090,-1.356,0.783,0.000
31694.000,1.084,-1.356,0.767,0.000
31700.000,1.078,-1.355,0.751,0.000
31707.000,1.172,-1.350,0.735,0.000
31714.000,1.166,-1.350,0.818,0.003
31720.000,1.150,-1.125,0.802,0.003
31727.000,1.144,-1.125,0.786,0.000
31734.000,1.139,-1.125,0.770,0.000
31741.000,1.133,-1.125,0.753,0.000
31747.000,1.127,-1.125,0.737,0.000
31754.000,1.121,-1.125,0.721,0.000
31761.000,1.216,-1.122,0.704,0.000
31768.000,1.210,-1.122,0.688,0.000
31775.000,1.204,-1.122,0.671,0.000
31782.000,1.199,-1.122,0.655,0.000
31789.000,1.193,-1.123,0.638,0.003
31796.000,1.188,-1.123,0.622,0.003
31802.000,1.182,-1.123,0.605,0.000
31809.000,1.177,-1.124,0.589,0.000
31816.000,1.181,-1.348,0.572,0.000
31823.000,1.276,-1.343,0.556,0.000
31830.000,1.271,-1.343,0.539,0.000
31837.000,1.265,-1.344,0.522,0.000
31844.000,1.260,-1.345,0.506,0.000
31850.000,1.255,-1.345,0.489,0.000
31857.000,1.250,-1.346,0.472,0.003
31864.000,1.245,-1.347,0.456,0.003
31871.000,1.254,-1.569,0.539,0.000
31878.000,1.249,-1.570,0.522,-0.000
31885.000,1.344,-1.563,0.405,-0.000
31892.000,1.339,-1.564,0.388,0.000
31899.000,1.334,-1.565,0.372,0.000
31905.000,1.346,-1.786,0.355,0.000
