Alt,u,v,temp,bv2,lat,long
3195.000,1.602,0.490,1.202,0.000,46.749,-116.985
3199.000,1.464,0.684,1.129,-0.000,46.749,-116.985
3204.000,1.450,0.685,1.155,0.000,46.749,-116.985
3209.000,1.436,0.685,1.181,-0.000,46.749,-116.985
3214.000,1.294,0.878,1.107,0.000,46.749,-116.985
3219.000,1.280,0.878,1.134,0.000,46.749,-116.985
3224.000,1.266,0.879,1.060,-0.000,46.750,-116.985
3229.000,1.122,1.070,1.086,-0.000,46.750,-116.984
3234.000,1.108,1.070,1.013,0.000,46.750,-116.984
3239.000,1.094,1.071,1.039,0.000,46.750,-116.984
3244.000,1.080,1.072,1.065,-0.000,46.750,-116.984
3249.000,0.932,1.260,0.992,-0.000,46.750,-116.984
3254.000,0.918,1.261,1.018,0.000,46.750,-116.984
3259.000,0.904,1.262,0.944,0.000,46.750,-116.984
3264.000,0.890,1.263,0.971,0.000,46.750,-116.983
3269.000,0.877,1.264,0.997,-0.000,46.750,-116.983
3274.000,0.726,1.451,0.923,-0.000,46.750,-116.983
3278.000,0.712,1.452,0.950,-0.000,46.750,-116.983
3283.000,0.699,1.453,0.876,-0.000,46.750,-116.983
3288.000,0.685,1.454,0.903,0.000,46.750,-116.983
3293.000,0.532,1.638,0.929,-0.000,46.751,-116.983
3297.000,0.518,1.639,0.855,-0.000,46.751,-116.982
3302.000,0.505,1.641,0.882,-0.000,46.751,-116.982
3307.000,0.491,1.642,0.808,0.000,46.751,-116.982
3312.000,0.335,1.824,0.835,0.000,46.751,-116.982
3316.000,0.321,1.825,0.861,-0.000,46.751,-116.982
3321.000,0.308,1.827,0.788,-0.000,46.751,-116.982
3326.000,0.295,1.829,0.814,-0.000,46.751,-116.981
3331.000,0.282,1.830,0.741,-0.000,46.751,-116.981
3335.000,0.346,1.895,0.767,-0.000,46.751,-116.981
3340.000,0.557,1.776,0.694,-0.000,46.751,-116.981
3345.000,0.543,1.778,0.720,0.000,46.751,-116.981
3350.000,0.609,1.841,0.747,-0.000,46.751,-116.981
3355.000,0.820,1.716,0.673,-0.000,46.751,-116.981
3359.000,0.807,1.718,0.700,0.000,46.752,-116.980
3364.000,0.874,1.780,0.726,-0.000,46.752,-116.980
3369.000,1.003,1.590,0.653,-0.000,46.752,-116.980
3374.000,1.071,1.651,0.680,-0.000,46.752,-116.980
3378.000,1.140,1.712,0.606,-0.000,46.752,-116.980
3383.000,1.350,1.574,0.633,0.000,46.752,-116.980
3388.000,1.337,1.576,0.659,-0.000,46.752,-116.980
3393.000,1.406,1.635,0.586,-0.000,46.752,-116.979
3397.000,1.616,1.491,0.613,0.000,46.752,-116.979
3402.000,1.604,1.493,0.639,-0.000,46.752,-116.979
3407.000,1.674,1.551,0.566,-0.000,46.752,-116.979
3412.000,1.883,1.400,0.593,0.000,46.752,-116.979
3417.000,1.871,1.402,0.619,0.000,46.752,-116.979
3422.000,1.943,1.459,0.546,0.000,46.752,-116.978
3427.000,1.846,1.407,0.573,0.000,46.753,-116.978
3432.000,1.969,1.197,0.599,-0.000,46.753,-116.978
3437.000,1.872,1.147,0.526,0.000,46.753,-116.978
3442.000,1.860,1.149,0.553,0.000,46.753,-116.978
3447.000,1.763,1.099,0.580,0.000,46.753,-116.978
3452.000,1.751,1.102,0.606,-0.000,46.753,-116.978
3457.000,1.783,0.842,0.533,0.000,46.753,-116.977
3462.000,1.771,0.844,0.560,0.000,46.753,-116.977
3468.000,1.673,0.796,0.587,-0.000,46.753,-116.977
3473.000,1.661,0.798,0.514,-0.000,46.753,-116.977
3478.000,1.564,0.750,0.540,0.000,46.753,-116.977
3483.000,1.675,0.544,0.567,0.000,46.753,-116.977
3488.000,1.577,0.496,0.494,-0.000,46.753,-116.976
