Alt,u,v,temp,bv2,lat,long
20631.000,1.996,-0.891,0.549,0.001,46.965,-116.686
20636.000,1.873,-0.879,0.546,0.001,46.965,-116.686
20641.000,1.786,-0.989,0.544,0.001,46.965,-116.686
20646.000,1.662,-0.985,0.542,0.001,46.965,-116.686
20651.000,1.538,-0.984,0.539,0.001,46.965,-116.686
20657.000,1.412,-0.987,0.537,0.001,46.965,-116.686
20662.000,1.287,-0.994,0.534,0.000,46.966,-116.686
20667.000,1.203,-0.934,0.531,0.001,46.966,-116.686
20672.000,1.076,-0.945,0.529,0.001,46.966,-116.686
20677.000,0.992,-0.886,0.526,0.001,46.966,-116.686
20682.000,0.777,-0.853,0.524,0.001,46.966,-116.686
20687.000,0.692,-0.796,0.521,0.001,46.966,-116.686
20693.000,0.562,-0.819,0.519,0.001,46.966,-116.686
20698.000,0.477,-0.763,0.516,0.000,46.966,-116.686
20703.000,0.392,-0.707,0.514,0.001,46.966,-116.687
20708.000,0.260,-0.737,0.511,0.001,46.966,-116.687
20713.000,0.174,-0.683,0.508,0.001,46.966,-116.687
20718.000,-0.048,-0.673,0.506,0.001,46.966,-116.687
20723.000,-0.135,-0.621,0.503,0.000,46.966,-116.687
20729.000,-0.221,-0.568,0.501,0.001,46.966,-116.687
20734.000,-0.355,-0.612,0.498,0.001,46.966,-116.687
20739.000,-0.442,-0.561,0.495,0.001,46.966,-116.687
20744.000,-0.529,-0.510,0.493,0.001,46.966,-116.687
20749.000,-0.706,-0.415,0.490,0.000,46.966,-116.687
20754.000,-0.842,-0.470,0.487,0.001,46.966,-116.687
20759.000,-0.930,-0.421,0.485,0.001,46.966,-116.687
20765.000,-0.785,-0.351,0.482,0.001,46.966,-116.687
20770.000,-0.781,-0.344,0.479,0.001,46.966,-116.688
20775.000,-0.636,-0.278,0.477,0.001,46.966,-116.688
20780.000,-0.632,-0.271,0.474,0.001,46.966,-116.688
20785.000,-0.574,-0.162,0.471,0.000,46.966,-116.688
20790.000,-0.482,-0.202,0.469,0.001,46.966,-116.688
20795.000,-0.423,-0.096,0.466,0.001,46.966,-116.688
20801.000,-0.276,-0.041,0.463,0.001,46.966,-116.688
20806.000,-0.271,-0.034,0.461,0.001,46.966,-116.688
20811.000,-0.124,0.017,0.458,0.000,46.966,-116.688
20816.000,-0.062,0.117,0.455,0.001,46.966,-116.688
20821.000,-0.057,0.123,0.453,0.001,46.966,-116.688
20826.000,0.091,0.168,0.550,0.001,46.966,-116.688
20831.000,0.096,0.174,0.547,0.001,46.966,-116.688
20837.000,0.244,0.214,0.545,0.000,46.967,-116.688
20842.000,0.310,0.308,0.542,0.001,46.967,-116.688
20847.000,0.377,0.401,0.540,0.001,46.967,-116.688
20852.000,0.463,0.348,0.537,0.001,46.967,-116.688
20857.000,0.530,0.437,0.534,0.001,46.967,-116.689
20862.000,0.600,0.526,0.532,0.001,46.967,-116.689
20867.000,0.684,0.470,0.529,0.001,46.967,-116.689
20873.000,0.753,0.556,0.527,0.000,46.967,-116.689
20878.000,0.824,0.641,0.524,0.001,46.967,-116.689
20883.000,0.972,0.658,0.521,0.001,46.967,-116.689
20888.000,1.045,0.739,0.519,0.001,46.967,-116.689
20893.000,1.119,0.819,0.516,0.001,46.967,-116.689
20898.000,1.194,0.897,0.514,0.000,46.967,-116.689
20903.000,1.200,0.902,0.511,0.001,46.967,-116.689
20909.000,1.277,0.978,0.609,0.001,46.967,-116.689
20914.000,1.355,1.054,0.606,0.001,46.967,-116.689
20919.000,1.434,1.128,0.604,0.001,46.967,-116.689
20924.000,1.582,1.127,0.602,0.000,46.967,-116.689
20929.000,1.662,1.197,0.599,0.001,46.967,-116.689
20934.000,1.744,1.266,0.597,0.001,46.967,-116.689
20939.000,1.890,1.256,0.594,0.001,46.967,-116.689
20945.000,1.973,1.321,0.592,0.001,46.967,-116.689
20950.000,2.057,1.384,0.689,0.000,46.967,-116.689
20955.000,2.142,1.446,0.687,0.001,46.967,-116.689
20960.000,2.229,1.507,0.685,0.001,46.967,-116.689
20965.000,2.235,1.511,0.682,0.001,46.967,-116.690
20970.000,2.323,1.570,0.680,0.001,46.968,-116.690
20975.000,2.330,1.574,0.678,0.000,46.968,-116.690
20980.000,2.337,1.578,0.676,0.001,46.968,-116.690
20985.000,2.426,1.635,0.673,0.001,46.968,-116.690
20990.000,2.379,1.723,0.771,0.001,46.968,-116.690
20995.000,2.386,1.726,0.769,0.001,46.968,-116.690
21000.000,2.478,1.783,0.767,0.000,46.968,-116.690
21006.000,2.485,1.787,0.764,0.001,46.968,-116.690
21011.000,2.493,1.790,0.762,0.001,46.968,-116.690
21016.000,2.586,1.845,0.760,0.000,46.968,-116.690
21021.000,2.593,1.849,0.758,0.001,46.968,-116.690
21026.000,2.550,1.938,0.756,0.001,46.968,-116.690
21031.000,2.645,1.992,0.754,0.001,46.968,-116.690
21036.000,2.653,1.995,0.851,0.001,46.968,-116.690
21041.000,2.661,1.999,0.849,0.000,46.968,-116.690
21046.000,2.757,2.052,0.847,0.001,46.968,-116.690
21051.000,2.764,2.055,0.845,0.001,46.968,-116.690
21056.000,2.772,2.058,0.842,0.001,46.968,-116.690
21061.000,2.731,2.148,0.840,0.001,46.968,-116.690
21066.000,2.829,2.200,0.838,0.000,46.968,-116.690
21071.000,2.795,2.066,0.836,0.001,46.968,-116.690
21076.000,2.764,1.932,0.834,0.001,46.968,-116.690
21082.000,2.822,1.849,0.831,0.001,46.968,-116.690
21087.000,2.745,1.801,0.829,0.001,46.968,-116.690
21092.000,2.722,1.668,0.827,0.000,46.969,-116.690
21097.000,2.783,1.586,0.825,0.001,46.969,-116.690
21102.000,2.765,1.454,0.822,0.001,46.969,-116.691
21107.000,2.696,1.405,0.920,0.000,46.969,-116.691
21112.000,2.684,1.273,0.918,0.001,46.969,-116.691
21117.000,2.618,1.223,0.916,0.001,46.969,-116.691
21122.000,2.684,1.144,0.913,0.001,46.969,-116.691
21128.000,2.680,1.014,0.911,0.001,46.969,-116.691
21133.000,2.679,0.884,0.909,0.000,46.969,-116.691
21138.000,2.683,0.755,0.907,0.001,46.969,-116.691
21143.000,2.625,0.704,0.904,0.001,46.969,-116.691
21149.000,2.634,0.576,0.902,0.001,46.969,-116.691
21154.000,2.647,0.449,0.900,0.001,46.969,-116.691
21159.000,2.595,0.396,0.898,0.000,46.969,-116.691
21164.000,2.613,0.271,0.896,0.001,46.969,-116.691
21170.000,2.635,0.146,0.893,0.001,46.969,-116.691
21175.000,2.588,0.093,0.891,0.001,46.969,-116.691
21180.000,2.490,-0.018,0.889,0.001,46.969,-116.691
21185.000,2.446,-0.074,0.886,0.000,46.969,-116.691
21191.000,2.354,-0.191,0.884,0.001,46.969,-116.691
21196.000,2.313,-0.250,0.882,0.000,46.969,-116.691
21201.000,2.272,-0.310,0.780,0.000,46.969,-116.691
21206.000,2.189,-0.433,0.777,0.001,46.969,-116.691
21212.000,2.235,-0.552,0.775,0.000,46.969,-116.692
21217.000,2.160,-0.677,0.773,0.001,46.969,-116.692
21222.000,2.127,-0.740,0.770,0.001,46.969,-116.692
21227.000,2.058,-0.869,0.768,0.001,46.969,-116.692
