Alt,u,v,temp,bv2,lat,long
19076.000,-3.547,-0.644,-0.615,0.001,46.952,-116.670
19081.000,-3.543,-0.629,-0.615,0.000,46.952,-116.670
19086.000,-3.539,-0.615,-0.615,0.000,46.952,-116.670
19091.000,-3.535,-0.600,-0.615,0.000,46.952,-116.670
19096.000,-3.531,-0.585,-0.615,0.000,46.952,-116.670
19101.000,-3.528,-0.570,-0.615,0.000,46.952,-116.670
19106.000,-3.439,-0.445,-0.615,0.001,46.952,-116.671
19111.000,-3.435,-0.431,-0.515,0.001,46.952,-116.671
19116.000,-3.431,-0.416,-0.515,0.000,46.952,-116.671
19121.000,-3.427,-0.401,-0.515,0.000,46.952,-116.671
19126.000,-3.423,-0.387,-0.515,0.001,46.952,-116.671
19131.000,-3.419,-0.372,-0.515,0.000,46.952,-116.671
19136.000,-3.415,-0.358,-0.515,0.001,46.953,-116.671
19141.000,-3.490,-0.282,-0.415,0.001,46.953,-116.671
19146.000,-3.397,-0.157,-0.415,0.000,46.953,-116.671
19151.000,-3.393,-0.142,-0.415,0.000,46.953,-116.671
19156.000,-3.389,-0.127,-0.415,0.000,46.953,-116.671
19161.000,-3.384,-0.113,-0.415,0.000,46.953,-116.671
19166.000,-3.380,-0.098,-0.415,0.000,46.953,-116.672
19171.000,-3.375,-0.083,-0.415,0.000,46.953,-116.672
19176.000,-3.370,-0.068,-0.415,0.000,46.953,-116.672
19181.000,-3.275,0.056,-0.415,0.000,46.953,-116.672
19186.000,-3.178,0.178,-0.416,0.001,46.953,-116.672
19191.000,-3.079,0.299,-0.316,0.001,46.953,-116.672
19196.000,-2.978,0.419,-0.316,0.000,46.953,-116.672
19201.000,-2.875,0.537,-0.316,0.000,46.953,-116.672
19206.000,-2.771,0.653,-0.316,0.000,46.953,-116.672
19211.000,-2.836,0.739,-0.317,0.000,46.953,-116.672
19217.000,-2.728,0.854,-0.317,0.000,46.953,-116.672
19222.000,-2.618,0.968,-0.317,0.000,46.953,-116.672
19227.000,-2.506,1.081,-0.318,0.000,46.954,-116.672
19232.000,-2.393,1.191,-0.318,0.000,46.954,-116.672
19237.000,-2.277,1.300,-0.318,0.000,46.954,-116.672
19242.000,-2.160,1.406,-0.319,0.001,46.954,-116.672
19247.000,-2.153,1.422,-0.319,0.000,46.954,-116.672
19252.000,-2.034,1.527,-0.320,0.000,46.954,-116.672
19258.000,-1.914,1.630,-0.320,0.000,46.954,-116.672
19263.000,-1.850,1.812,-0.321,0.000,46.954,-116.673
19268.000,-1.724,1.911,-0.321,0.001,46.954,-116.673
19273.000,-1.597,2.009,-0.221,0.001,46.954,-116.673
19278.000,-1.645,2.108,-0.222,0.000,46.954,-116.673
19283.000,-1.460,2.121,-0.223,0.000,46.954,-116.673
19288.000,-1.330,2.215,-0.223,0.000,46.954,-116.673
19293.000,-1.023,2.294,-0.224,0.000,46.954,-116.673
19299.000,-0.938,2.468,-0.224,0.000,46.954,-116.673
19304.000,-0.802,2.553,-0.225,0.000,46.954,-116.673
19309.000,-0.619,2.547,-0.225,0.000,46.955,-116.673
19314.000,-0.481,2.627,-0.226,0.000,46.955,-116.673
19319.000,-0.342,2.705,-0.227,0.001,46.955,-116.673
19324.000,-0.203,2.781,-0.127,0.001,46.955,-116.673
19329.000,-0.061,2.854,-0.128,0.000,46.955,-116.673
19334.000,0.081,2.926,-0.128,0.000,46.955,-116.673
19340.000,0.260,2.901,-0.129,0.000,46.955,-116.673
19345.000,0.536,3.014,-0.130,0.000,46.955,-116.673
19350.000,0.681,3.075,-0.131,0.000,46.955,-116.673
19355.000,0.826,3.134,-0.131,0.000,46.955,-116.673
19360.000,0.972,3.190,-0.132,0.001,46.955,-116.673
19365.000,1.145,3.147,-0.033,0.001,46.955,-116.673
19371.000,1.291,3.198,-0.034,0.000,46.955,-116.673
19376.000,1.438,3.246,-0.034,0.000,46.955,-116.673
19381.000,1.586,3.292,-0.035,0.001,46.955,-116.673
19386.000,1.753,3.237,-0.036,0.000,46.955,-116.673
19391.000,1.803,3.057,-0.037,0.000,46.955,-116.673
19397.000,1.833,2.974,-0.037,0.000,46.956,-116.673
19402.000,1.864,2.891,-0.038,0.001,46.956,-116.673
19407.000,2.022,2.832,0.061,0.001,46.956,-116.673
19412.000,2.069,2.650,0.061,0.000,46.956,-116.673
19418.000,2.098,2.567,0.060,0.000,46.956,-116.673
19423.000,2.128,2.483,0.059,0.000,46.956,-116.673
19428.000,2.292,2.321,0.058,0.000,46.956,-116.674
19433.000,2.320,2.237,0.057,0.000,46.956,-116.674
19439.000,2.348,2.153,0.057,0.000,46.956,-116.674
19444.000,2.488,2.086,0.056,0.000,46.956,-116.674
19449.000,2.515,2.001,0.055,0.000,46.956,-116.674
19454.000,2.555,1.818,0.055,0.000,46.956,-116.674
19460.000,2.687,1.747,0.054,0.000,46.956,-116.674
19465.000,2.712,1.662,0.053,0.000,46.956,-116.674
19470.000,2.839,1.588,0.052,0.000,46.956,-116.674
19475.000,2.873,1.403,0.052,0.001,46.956,-116.674
19481.000,2.896,1.318,0.151,0.001,46.956,-116.674
19486.000,3.015,1.241,0.150,0.000,46.956,-116.674
