Alt,u,v,temp,bv2,lat,long
19587.000,0.916,-0.755,0.139,0.000,46.957,-116.674
19592.000,0.885,-0.917,0.138,0.000,46.957,-116.674
19597.000,0.721,-0.937,0.137,0.000,46.957,-116.675
19603.000,0.630,-1.034,0.137,0.000,46.957,-116.675
19608.000,0.517,-1.011,0.136,0.000,46.957,-116.675
19613.000,0.352,-1.052,0.136,0.000,46.957,-116.675
19619.000,0.266,-1.163,0.135,0.000,46.957,-116.675
19624.000,0.151,-1.154,0.135,0.001,46.957,-116.675
19629.000,0.069,-1.274,0.234,0.001,46.957,-116.675
19635.000,-0.047,-1.273,0.234,0.000,46.957,-116.675
19640.000,-0.209,-1.348,0.233,0.000,46.957,-116.675
19645.000,-0.241,-1.409,0.233,0.000,46.957,-116.675
19651.000,-0.399,-1.495,0.232,0.000,46.957,-116.675
19656.000,-0.428,-1.560,0.232,0.000,46.957,-116.675
19661.000,-0.544,-1.580,0.231,0.000,46.957,-116.675
19667.000,-0.699,-1.685,0.231,0.000,46.957,-116.675
19672.000,-0.724,-1.756,0.230,0.000,46.957,-116.675
19677.000,-0.839,-1.788,0.230,0.000,46.957,-116.675
19683.000,-0.862,-1.863,0.230,0.000,46.957,-116.675
19688.000,-0.977,-1.902,0.229,0.001,46.957,-116.676
19694.000,-1.028,-2.066,0.229,0.000,46.957,-116.676
19700.000,-1.140,-2.113,0.228,0.000,46.957,-116.676
19705.000,-1.319,-2.042,0.228,0.000,46.957,-116.676
19711.000,-1.592,-1.940,0.228,0.000,46.957,-116.676
19716.000,-1.737,-1.768,0.227,0.000,46.957,-116.676
19722.000,-1.914,-1.693,0.227,0.000,46.958,-116.676
19728.000,-2.091,-1.619,0.227,0.000,46.958,-116.676
19733.000,-2.268,-1.545,0.226,0.000,46.958,-116.676
19739.000,-2.446,-1.471,0.226,0.000,46.958,-116.677
19744.000,-2.623,-1.397,0.226,0.000,46.958,-116.677
19750.000,-2.801,-1.323,0.226,0.000,46.958,-116.677
19756.000,-3.073,-1.217,0.225,0.000,46.958,-116.677
19761.000,-3.250,-1.143,0.225,0.000,46.958,-116.677
19767.000,-3.428,-1.070,0.225,0.000,46.958,-116.677
19772.000,-3.606,-0.997,0.124,0.000,46.958,-116.677
19778.000,-3.783,-0.924,0.124,0.000,46.958,-116.677
19784.000,-3.961,-0.851,0.124,0.000,46.958,-116.678
19789.000,-4.139,-0.778,0.123,0.000,46.958,-116.678
19795.000,-4.411,-0.673,0.123,0.001,46.958,-116.678
19800.000,-4.588,-0.601,0.123,0.000,46.958,-116.678
19806.000,-4.766,-0.528,0.123,0.000,46.958,-116.678
19812.000,-4.944,-0.456,0.122,0.000,46.958,-116.678
19817.000,-4.876,-0.290,0.122,0.000,46.958,-116.678
19823.000,-4.865,-0.284,0.122,0.000,46.958,-116.678
19828.000,-4.794,-0.119,0.121,0.000,46.958,-116.678
19834.000,-4.813,0.082,0.021,0.000,46.958,-116.679
19840.000,-4.802,0.088,0.021,0.000,46.958,-116.679
19845.000,-4.725,0.252,0.021,0.000,46.958,-116.679
19851.000,-4.714,0.257,0.020,0.000,46.958,-116.679
19856.000,-4.634,0.419,0.020,0.000,46.958,-116.679
19862.000,-4.642,0.622,0.020,0.000,46.958,-116.679
19868.000,-4.631,0.627,0.019,0.000,46.958,-116.679
19873.000,-4.545,0.788,0.019,0.000,46.958,-116.679
19879.000,-4.546,0.993,-0.081,0.000,46.959,-116.679
19884.000,-4.535,0.997,-0.082,0.000,46.959,-116.679
19890.000,-4.443,1.156,-0.082,0.000,46.959,-116.680
19895.000,-4.431,1.161,-0.082,0.000,46.959,-116.680
19901.000,-4.424,1.366,-0.083,0.000,46.959,-116.680
19906.000,-4.326,1.523,-0.183,0.000,46.959,-116.680
19912.000,-4.315,1.527,-0.183,0.000,46.959,-116.680
19917.000,-4.300,1.734,-0.184,0.000,46.959,-116.680
19923.000,-4.289,1.737,-0.184,0.000,46.959,-116.680
19928.000,-4.185,1.892,-0.184,0.000,46.959,-116.680
19934.000,-4.078,2.045,-0.185,0.000,46.959,-116.680
19940.000,-4.067,2.048,-0.285,0.000,46.959,-116.681
19945.000,-3.957,2.199,-0.286,0.000,46.959,-116.681
19951.000,-3.845,2.348,-0.286,0.000,46.959,-116.681
19956.000,-3.730,2.496,-0.286,0.000,46.959,-116.681
19962.000,-3.719,2.498,-0.287,0.000,46.959,-116.681
19967.000,-3.602,2.643,-0.287,0.000,46.959,-116.681
19973.000,-3.483,2.786,-0.287,0.000,46.959,-116.681
19978.000,-3.471,2.788,-0.388,0.000,46.960,-116.681
19984.000,-3.350,2.929,-0.388,0.000,46.960,-116.681
19989.000,-3.225,3.067,-0.389,0.000,46.960,-116.681
19995.000,-3.099,3.204,-0.389,0.000,46.960,-116.682
20001.000,-3.088,3.205,-0.389,0.000,46.960,-116.682
20006.000,-2.959,3.339,-0.390,0.000,46.960,-116.682
