Alt,u,v,temp,bv2
1062.000,-4.481,-2.811,-1.486,0.000
1076.000,-4.569,-2.695,-1.443,0.000
1090.000,-4.749,-2.544,-1.501,0.000
1102.000,-4.858,-2.497,-1.459,0.000
1107.000,-5.034,-2.338,-1.517,0.000
1112.000,-5.112,-2.209,-1.475,-0.000
1118.000,-5.188,-2.078,-1.532,0.000
1123.000,-5.388,-1.988,-1.490,0.000
1128.000,-5.460,-1.851,-1.548,-0.000
1133.000,-5.529,-1.711,-1.506,0.000
1139.000,-5.726,-1.615,-1.564,0.000
1144.000,-5.649,-1.642,-1.522,0.000
1149.000,-5.533,-1.582,-1.580,0.000
1154.000,-5.547,-1.568,-1.538,-0.000
1160.000,-5.471,-1.596,-1.596,0.000
1165.000,-5.394,-1.624,-1.554,0.000
1170.000,-5.280,-1.572,-1.611,0.000
1176.000,-5.294,-1.558,-1.569,0.000
1181.000,-5.218,-1.588,-1.627,-0.000
1186.000,-5.104,-1.542,-1.585,0.000
1191.000,-5.118,-1.528,-1.643,0.000
1197.000,-5.043,-1.559,-1.601,-0.000
1202.000,-4.930,-1.518,-1.659,0.000
1207.000,-4.944,-1.505,-1.618,0.000
1213.000,-4.870,-1.538,-1.676,0.000
1218.000,-4.758,-1.502,-1.634,0.000
1223.000,-4.772,-1.489,-1.692,0.000
1229.000,-4.698,-1.524,-1.650,0.000
1235.000,-4.587,-1.494,-1.708,0.000
1240.000,-4.601,-1.480,-1.666,0.000
1246.000,-4.491,-1.454,-1.724,0.000
1251.000,-4.419,-1.492,-1.682,0.000
