Alt,u,v,temp,bv2,lat,long
14226.000,1.399,-2.260,-0.818,0.000,46.877,-116.697
14230.000,1.334,-2.315,-0.811,0.000,46.877,-116.697
14235.000,1.269,-2.371,-0.805,-0.000,46.877,-116.697
14239.000,1.285,-2.368,-0.898,-0.000,46.877,-116.697
14243.000,1.220,-2.424,-0.891,0.000,46.877,-116.696
14248.000,1.011,-2.284,-0.884,0.000,46.877,-116.696
14252.000,0.948,-2.341,-0.877,0.000,46.878,-116.696
14256.000,0.885,-2.397,-0.870,0.000,46.878,-116.696
14260.000,0.822,-2.454,-0.863,0.000,46.878,-116.696
14265.000,0.759,-2.511,-0.856,0.000,46.878,-116.696
14269.000,0.776,-2.507,-0.849,0.000,46.878,-116.695
14273.000,0.714,-2.564,-0.842,0.000,46.878,-116.695
14278.000,0.651,-2.620,-0.834,-0.000,46.878,-116.695
14282.000,0.589,-2.677,-0.927,-0.000,46.878,-116.695
14286.000,0.388,-2.552,-0.919,0.000,46.878,-116.695
14291.000,0.327,-2.610,-0.912,0.000,46.878,-116.695
14295.000,0.346,-2.606,-0.904,0.000,46.878,-116.695
14299.000,0.285,-2.664,-0.896,0.000,46.878,-116.695
14304.000,0.225,-2.722,-0.889,0.000,46.878,-116.695
14308.000,0.165,-2.779,-0.881,0.000,46.878,-116.694
14312.000,0.105,-2.837,-0.873,0.000,46.879,-116.694
14317.000,-0.091,-2.724,-0.865,-0.000,46.879,-116.694
14321.000,-0.149,-2.783,-0.957,-0.000,46.879,-116.694
14325.000,-0.130,-2.780,-0.949,0.000,46.879,-116.694
14330.000,-0.188,-2.839,-0.941,0.000,46.879,-116.694
14334.000,-0.382,-2.734,-0.932,0.000,46.879,-116.694
14338.000,-0.438,-2.794,-0.924,0.000,46.879,-116.694
14343.000,-0.495,-2.855,-0.916,0.000,46.879,-116.694
14347.000,-0.552,-2.915,-0.907,0.000,46.879,-116.693
14351.000,-0.532,-2.911,-0.899,0.000,46.879,-116.693
14356.000,-0.722,-2.815,-0.890,-0.000,46.879,-116.693
14360.000,-0.777,-2.877,-0.982,-0.000,46.879,-116.693
14364.000,-0.833,-2.939,-0.973,0.000,46.879,-116.693
14369.000,-0.888,-3.001,-0.965,0.000,46.879,-116.693
14373.000,-1.076,-2.914,-0.956,0.000,46.879,-116.693
14377.000,-1.056,-2.911,-0.947,0.000,46.880,-116.693
14382.000,-1.110,-2.974,-0.939,0.000,46.880,-116.693
14386.000,-1.165,-3.038,-0.930,0.000,46.880,-116.692
14390.000,-1.219,-3.102,-0.921,-0.000,46.880,-116.692
14395.000,-1.199,-3.098,-1.012,-0.000,46.880,-116.692
14399.000,-1.254,-3.162,-1.003,0.000,46.880,-116.692
14403.000,-1.364,-3.018,-0.994,0.000,46.880,-116.692
14408.000,-1.417,-3.083,-0.985,0.000,46.880,-116.692
14412.000,-1.397,-3.080,-0.975,0.000,46.880,-116.692
14416.000,-1.451,-3.145,-0.966,0.000,46.880,-116.692
14421.000,-1.431,-3.143,-0.957,0.000,46.880,-116.692
14425.000,-1.484,-3.208,-0.948,0.000,46.880,-116.692
14429.000,-1.465,-3.206,-0.939,0.000,46.880,-116.692
14434.000,-1.519,-3.271,-0.930,0.000,46.880,-116.691
14438.000,-1.499,-3.269,-0.921,0.000,46.880,-116.691
14442.000,-1.553,-3.335,-0.911,0.000,46.880,-116.691
14446.000,-1.533,-3.333,-0.902,0.000,46.881,-116.691
