Alt,u,v,temp,bv2,lat,long
2757.000,1.906,0.225,1.355,0.000,46.744,-116.997
2762.000,1.888,0.221,1.380,0.000,46.744,-116.997
2767.000,1.869,0.217,1.406,0.000,46.744,-116.997
2772.000,1.965,0.035,1.431,0.000,46.744,-116.997
2778.000,1.947,0.032,1.457,0.000,46.744,-116.996
2783.000,2.014,0.081,1.482,0.000,46.744,-116.996
2788.000,2.107,-0.104,1.508,0.000,46.745,-116.996
2794.000,2.089,-0.108,1.534,0.000,46.745,-116.996
2799.000,2.071,-0.111,1.559,0.001,46.745,-116.996
2805.000,2.248,-0.248,1.685,0.001,46.745,-116.996
2810.000,2.230,-0.252,1.710,0.000,46.745,-116.996
2816.000,2.126,-0.305,1.636,0.000,46.745,-116.995
2821.000,2.108,-0.308,1.662,0.000,46.745,-116.995
2827.000,2.091,-0.311,1.587,0.000,46.745,-116.995
2832.000,1.987,-0.365,1.613,0.000,46.745,-116.995
2838.000,1.969,-0.368,1.639,0.000,46.745,-116.995
2844.000,1.952,-0.371,1.564,0.000,46.745,-116.995
2849.000,1.741,-0.243,1.590,0.000,46.745,-116.995
2855.000,1.724,-0.246,1.516,0.000,46.745,-116.995
2860.000,1.707,-0.249,1.541,-0.000,46.745,-116.994
2866.000,1.604,-0.303,1.467,-0.000,46.745,-116.994
2871.000,1.587,-0.306,1.493,0.000,46.745,-116.994
2877.000,1.569,-0.309,1.518,0.000,46.745,-116.994
2882.000,1.467,-0.363,1.444,0.000,46.746,-116.994
2888.000,1.449,-0.366,1.470,0.000,46.746,-116.994
2893.000,1.432,-0.368,1.396,0.000,46.746,-116.994
2899.000,1.330,-0.422,1.421,0.000,46.746,-116.994
2904.000,1.313,-0.425,1.447,0.000,46.746,-116.993
2910.000,1.189,-0.253,1.473,0.000,46.746,-116.993
2915.000,1.088,-0.308,1.499,-0.000,46.746,-116.993
2921.000,1.071,-0.310,1.424,0.000,46.746,-116.993
2926.000,1.139,-0.260,1.450,0.000,46.746,-116.993
2932.000,1.122,-0.262,1.476,0.000,46.746,-116.993
2937.000,1.190,-0.211,1.502,0.000,46.746,-116.993
2943.000,1.174,-0.213,1.428,0.000,46.746,-116.992
2948.000,1.242,-0.162,1.453,0.000,46.746,-116.992
2954.000,1.310,-0.111,1.479,0.000,46.746,-116.992
2960.000,1.294,-0.113,1.505,0.000,46.746,-116.992
2965.000,1.362,-0.062,1.431,0.000,46.746,-116.992
2970.000,1.346,-0.064,1.457,0.000,46.746,-116.992
2975.000,1.414,-0.012,1.483,0.000,46.746,-116.992
2980.000,1.398,-0.014,1.508,-0.000,46.747,-116.991
2985.000,1.466,0.037,1.434,-0.000,46.747,-116.991
2991.000,1.535,0.089,1.460,0.000,46.747,-116.991
2996.000,1.519,0.087,1.486,0.000,46.747,-116.991
3001.000,1.587,0.139,1.512,0.000,46.747,-116.991
3006.000,1.571,0.137,1.538,0.000,46.747,-116.991
3011.000,1.640,0.189,1.464,0.000,46.747,-116.991
3017.000,1.709,0.240,1.490,0.000,46.747,-116.990
3022.000,1.693,0.239,1.516,0.000,46.747,-116.990
3027.000,1.762,0.291,1.542,0.000,46.747,-116.990
3032.000,1.746,0.290,1.467,0.000,46.747,-116.990
3037.000,1.730,0.288,1.493,0.000,46.747,-116.990
3042.000,1.715,0.287,1.519,0.000,46.747,-116.990
3048.000,1.784,0.339,1.445,0.000,46.747,-116.990
3053.000,1.768,0.338,1.471,0.000,46.747,-116.989
3058.000,1.870,0.145,1.497,0.000,46.747,-116.989
