Alt,u,v,temp,bv2
13096.000,1.715,0.066,1.866,0.000
13101.000,1.689,0.320,1.870,0.000
13106.000,1.759,0.361,1.873,0.000
13110.000,1.727,0.618,1.877,0.000
13115.000,1.797,0.661,1.880,0.000
13119.000,1.866,0.703,1.884,0.000
13124.000,2.026,0.790,1.887,0.000
13128.000,2.096,0.833,1.890,0.000
13133.000,2.165,0.875,1.894,0.000
13137.000,2.235,0.918,1.897,0.000
13142.000,2.280,1.233,1.901,0.000
13146.000,2.349,1.277,1.904,0.000
13151.000,2.417,1.322,1.907,0.000
13155.000,2.486,1.366,1.911,0.000
13159.000,2.643,1.456,1.914,0.000
13164.000,2.712,1.501,1.917,0.000
13168.000,2.780,1.545,1.921,0.000
13172.000,2.724,1.828,1.924,-0.000
13177.000,2.880,1.921,1.827,-0.000
13181.000,2.947,1.967,1.830,0.000
13185.000,3.014,2.013,1.833,0.000
13190.000,3.081,2.060,1.837,0.000
13194.000,3.237,2.153,1.840,0.000
13198.000,3.128,2.106,1.843,0.000
13203.000,3.107,2.105,1.846,0.000
13207.000,3.126,1.812,1.849,0.000
13211.000,3.105,1.811,1.852,0.000
13216.000,3.118,1.519,1.855,0.000
13220.000,3.097,1.519,1.858,0.000
13225.000,2.987,1.474,1.861,0.000
13229.000,3.084,1.227,1.864,0.000
13233.000,2.973,1.184,1.867,0.000
13238.000,2.952,1.184,1.870,0.000
13242.000,3.045,0.936,1.873,0.000
13246.000,2.933,0.895,1.876,0.000
13251.000,3.020,0.647,1.878,0.000
13255.000,2.908,0.608,1.881,0.000
13259.000,2.887,0.607,1.884,0.000
13264.000,2.970,0.359,1.887,0.000
13268.000,2.857,0.321,1.889,0.000
13273.000,2.934,0.073,1.892,0.000
13277.000,2.914,0.073,1.895,0.000
13281.000,2.801,0.037,1.897,0.001
13286.000,2.781,0.037,2.000,0.001
13290.000,2.668,0.001,2.002,0.000
13295.000,2.649,0.001,2.005,0.000
13299.000,2.629,0.001,2.007,0.000
13304.000,2.517,-0.035,2.009,0.000
13308.000,2.497,-0.034,2.012,0.000
13312.000,2.385,-0.070,2.014,0.000
13317.000,2.366,-0.069,2.016,0.000
13321.000,2.348,-0.069,2.019,0.000
13326.000,2.236,-0.104,2.021,0.000
13330.000,2.218,-0.103,2.023,0.000
13335.000,2.013,0.100,2.025,0.000
13339.000,1.995,0.101,2.027,0.000
13344.000,1.977,0.102,2.029,0.001
13348.000,1.867,0.065,2.131,0.001
13352.000,1.850,0.066,2.133,0.000
13357.000,1.740,0.030,2.135,0.000
13361.000,1.723,0.031,2.137,0.000
13366.000,1.707,0.032,2.139,0.000
13370.000,1.598,-0.004,2.141,0.000
