Alt,u,v,temp,bv2
6489.000,2.190,-0.445,0.198,0.000
6494.000,2.107,-0.502,0.233,0.000
6499.000,2.078,-0.647,0.269,-0.000
6505.000,1.995,-0.703,0.204,-0.000
6510.000,2.048,-0.794,0.239,0.000
6515.000,1.964,-0.848,0.274,-0.000
6520.000,1.928,-0.988,0.209,-0.000
6526.000,1.843,-1.041,0.245,0.000
6531.000,1.803,-1.176,0.180,0.000
6536.000,1.717,-1.228,0.215,0.000
6541.000,1.762,-1.314,0.250,-0.000
6546.000,1.716,-1.445,0.186,-0.000
6552.000,1.629,-1.494,0.221,-0.000
6557.000,1.579,-1.621,0.156,0.000
6562.000,1.526,-1.745,0.191,0.000
6567.000,1.620,-1.709,0.127,-0.000
6573.000,1.714,-1.672,0.162,-0.000
6578.000,1.808,-1.636,0.097,-0.000
6583.000,1.902,-1.599,0.133,0.000
6589.000,1.996,-1.563,0.068,0.000
6594.000,2.090,-1.526,0.103,-0.000
6600.000,2.223,-1.579,0.039,0.000
6606.000,2.318,-1.543,0.074,0.000
6611.000,2.412,-1.508,0.009,-0.000
6617.000,2.507,-1.472,0.045,0.000
6623.000,2.602,-1.437,-0.020,0.000
6628.000,2.697,-1.401,0.016,-0.000
6634.000,2.792,-1.365,-0.049,0.000
6639.000,2.887,-1.329,-0.014,0.000
6645.000,2.982,-1.293,-0.078,-0.000
6651.000,3.077,-1.257,-0.043,0.000
6656.000,3.216,-1.328,-0.107,0.000
6662.000,3.311,-1.293,-0.072,0.000
6667.000,3.407,-1.258,-0.136,0.000
6673.000,3.503,-1.224,-0.101,-0.000
6679.000,3.460,-1.116,-0.165,0.000
6684.000,3.464,-1.119,-0.130,0.000
6690.000,3.559,-1.083,-0.194,-0.000
6695.000,3.563,-1.086,-0.159,0.000
6701.000,3.518,-0.978,-0.223,0.000
6707.000,3.613,-0.941,-0.188,-0.000
6712.000,3.617,-0.944,-0.252,-0.000
6718.000,3.570,-0.835,-0.217,0.000
6723.000,3.664,-0.797,-0.281,0.000
6729.000,3.669,-0.801,-0.245,-0.000
6735.000,3.673,-0.805,-0.310,0.000
6740.000,3.713,-0.651,-0.274,0.000
6746.000,3.718,-0.656,-0.339,-0.000
6751.000,3.722,-0.660,-0.303,-0.000
6756.000,3.759,-0.505,-0.368,-0.000
6761.000,3.764,-0.509,-0.332,0.000
6766.000,3.769,-0.513,-0.296,-0.000
6771.000,3.863,-0.472,-0.361,-0.000
6776.000,3.808,-0.361,-0.325,0.000
6781.000,3.901,-0.318,-0.290,0.000
6786.000,3.818,-0.370,-0.254,0.000
6791.000,3.674,-0.308,-0.219,0.000
6796.000,3.680,-0.312,-0.183,0.000
6801.000,3.598,-0.365,-0.147,-0.000
6806.000,3.603,-0.369,-0.212,-0.000
6811.000,3.460,-0.312,-0.176,0.000
6816.000,3.465,-0.316,-0.141,0.000
6821.000,3.384,-0.370,-0.105,0.000
6826.000,3.327,-0.267,-0.069,0.000
6831.000,3.247,-0.322,-0.034,0.000
6836.000,3.253,-0.326,0.002,0.000
6841.000,3.110,-0.278,0.038,0.000
6846.000,3.116,-0.282,0.073,0.000
6851.000,3.037,-0.338,0.009,0.000
6856.000,2.979,-0.242,0.045,0.000
6861.000,2.901,-0.299,0.081,0.000
6866.000,2.906,-0.302,0.116,0.000
6871.000,2.765,-0.264,0.152,0.000
6876.000,2.771,-0.267,0.188,0.000
6881.000,2.629,-0.233,0.224,0.000
6886.000,2.635,-0.235,0.260,0.000
6891.000,2.559,-0.296,0.296,0.000
6896.000,2.419,-0.266,0.332,0.000
6901.000,2.424,-0.269,0.368,0.000
6906.000,2.285,-0.244,0.404,0.000
6911.000,2.210,-0.306,0.340,-0.000
6916.000,2.151,-0.224,0.375,0.000
