Alt,u,v,temp,bv2
22747.000,0.248,-3.476,1.155,0.001
22753.000,0.319,-3.333,1.146,0.000
22758.000,0.490,-3.172,1.238,0.001
22763.000,0.566,-3.036,1.229,0.001
22769.000,0.645,-2.903,1.221,0.000
22774.000,0.826,-2.758,1.312,0.001
22780.000,0.910,-2.633,1.304,0.001
22785.000,1.083,-2.390,1.295,0.000
22791.000,1.174,-2.274,1.386,0.001
22796.000,1.266,-2.162,1.378,0.001
22801.000,1.456,-1.945,1.369,0.000
22807.000,1.555,-1.843,1.361,0.000
22813.000,1.756,-1.647,1.452,0.001
22818.000,1.859,-1.555,1.443,0.001
22824.000,1.970,-1.373,1.435,0.000
22830.000,2.186,-1.208,1.426,0.001
22836.000,2.307,-1.044,1.417,0.001
22841.000,2.407,-1.060,1.409,0.000
22847.000,2.407,-1.061,1.500,0.001
22853.000,2.506,-1.077,1.492,0.001
22858.000,2.506,-1.078,1.483,0.000
22864.000,2.606,-1.093,1.474,0.001
22870.000,2.717,-1.026,1.466,0.001
22875.000,2.717,-1.027,1.457,0.000
22881.000,2.817,-1.043,1.448,0.001
22887.000,2.817,-1.043,1.540,0.001
22892.000,2.916,-1.059,1.531,0.000
22898.000,2.930,-0.982,1.522,0.001
22904.000,3.029,-0.999,1.514,0.001
22909.000,3.029,-0.999,1.505,0.000
22915.000,3.128,-1.016,1.496,0.001
22921.000,3.227,-1.032,1.488,0.001
22926.000,3.241,-0.959,1.479,-0.000
22932.000,3.340,-0.977,1.371,0.000
22938.000,3.340,-0.976,1.362,0.001
22943.000,3.439,-0.994,1.353,0.000
22949.000,3.454,-0.924,1.345,0.001
22955.000,3.317,-1.113,1.336,0.001
22961.000,3.099,-1.229,1.327,0.000
22966.000,2.885,-1.359,1.318,0.001
22972.000,2.680,-1.422,1.310,0.001
22978.000,2.572,-1.581,1.301,0.000
22983.000,2.370,-1.747,1.292,0.001
22989.000,2.171,-1.836,1.283,0.001
22995.000,2.079,-2.021,1.275,0.000
23001.000,1.886,-2.126,1.266,0.001
23007.000,1.695,-2.238,1.257,0.001
23012.000,1.606,-2.346,1.248,0.000
23018.000,1.420,-2.469,1.240,0.000
23024.000,1.237,-2.599,1.131,0.000
23030.000,1.058,-2.736,1.122,0.000
23036.000,0.982,-2.860,1.113,0.001
23041.000,0.811,-3.006,1.104,0.001
23047.000,0.740,-3.137,1.096,0.000
23053.000,0.574,-3.293,1.087,0.001
23059.000,0.383,-3.334,1.078,0.001
23065.000,0.222,-3.500,1.069,0.000
