Alt,u,v,temp,bv2
23719.000,0.427,0.273,-0.243,0.001
23725.000,0.463,0.410,-0.153,0.001
23731.000,0.468,0.413,-0.164,0.000
23736.000,0.474,0.416,-0.174,0.000
23742.000,0.578,0.396,-0.184,0.001
23748.000,0.615,0.532,-0.094,0.001
23754.000,0.621,0.535,-0.104,0.000
23759.000,0.626,0.538,-0.115,0.001
23765.000,0.762,0.647,-0.125,0.001
23771.000,0.767,0.651,-0.035,0.000
23777.000,0.772,0.654,-0.046,0.000
23782.000,0.874,0.632,-0.056,0.001
23788.000,0.975,0.609,-0.067,0.001
23794.000,0.947,0.486,-0.077,0.000
23800.000,1.048,0.465,0.012,0.001
23805.000,1.053,0.469,0.002,0.001
23811.000,1.154,0.448,-0.009,0.000
23817.000,1.158,0.452,-0.019,0.001
23823.000,1.230,0.309,-0.030,0.001
23828.000,1.234,0.313,0.059,0.000
23834.000,1.335,0.294,0.049,0.000
23840.000,1.339,0.298,0.038,0.001
23846.000,1.440,0.280,0.028,0.001
23851.000,1.417,0.164,0.017,0.000
23857.000,1.518,0.147,0.006,0.001
23863.000,1.522,0.151,-0.004,0.001
23869.000,1.623,0.135,0.085,0.000
23875.000,1.700,0.003,0.074,0.000
23880.000,1.703,0.008,0.064,0.001
23886.000,1.804,-0.007,0.053,0.001
23892.000,1.611,0.035,0.042,0.000
23898.000,1.515,0.058,0.031,0.001
23904.000,1.321,0.101,0.121,0.001
23910.000,1.226,0.124,0.110,0.000
23916.000,1.033,0.167,0.099,0.000
23922.000,0.937,0.190,0.088,0.001
23928.000,0.842,0.213,0.078,0.001
23933.000,0.649,0.255,0.067,0.000
23939.000,0.554,0.279,0.056,0.001
23945.000,0.361,0.321,0.145,0.001
23951.000,0.266,0.344,0.135,0.000
