Alt,u,v,temp,bv2
7345.000,-1.370,0.832,1.144,0.000
7350.000,-1.450,0.850,1.183,0.000
7355.000,-1.515,0.965,1.222,0.000
7361.000,-1.584,1.079,1.261,0.000
7366.000,-1.669,1.092,1.301,0.000
7372.000,-1.743,1.204,1.340,0.000
7377.000,-1.820,1.314,1.379,0.000
7382.000,-1.908,1.323,1.419,0.000
7388.000,-1.991,1.430,1.459,0.000
7393.000,-2.077,1.536,1.398,0.000
7398.000,-2.167,1.640,1.438,0.000
7404.000,-2.162,1.641,1.378,-0.000
7409.000,-2.156,1.642,1.418,-0.000
7415.000,-2.050,1.741,1.358,0.000
7420.000,-2.044,1.741,1.399,0.000
7425.000,-2.039,1.742,1.339,0.000
7431.000,-2.030,1.842,1.379,0.000
7436.000,-2.024,1.842,1.420,0.000
7441.000,-1.917,1.838,1.360,0.000
7447.000,-1.910,1.838,1.401,0.000
7452.000,-1.899,1.938,1.342,0.000
7458.000,-1.892,1.937,1.383,0.000
7463.000,-1.886,1.936,1.324,0.000
7468.000,-1.769,2.029,1.364,0.000
7474.000,-1.763,2.028,1.306,0.000
7479.000,-1.756,2.027,1.347,0.000
7485.000,-1.742,2.125,1.288,-0.000
7490.000,-1.734,2.123,1.329,-0.000
7495.000,-1.621,2.113,1.271,0.000
7501.000,-1.614,2.111,1.312,0.000
7506.000,-1.598,2.208,1.254,0.000
7511.000,-1.590,2.206,1.296,0.000
7517.000,-1.691,2.212,1.238,0.000
7522.000,-1.683,2.210,1.280,0.000
7528.000,-1.783,2.214,1.222,0.000
7533.000,-1.776,2.211,1.264,0.000
7539.000,-1.873,2.312,1.206,0.000
7544.000,-1.865,2.309,1.248,0.000
7550.000,-1.967,2.309,1.191,0.000
7555.000,-1.958,2.306,1.233,0.000
7561.000,-1.950,2.302,1.176,0.000
7567.000,-2.052,2.299,1.218,0.000
7572.000,-2.044,2.296,1.161,0.000
7578.000,-2.147,2.391,1.204,0.000
7583.000,-2.139,2.386,1.147,0.000
7589.000,-2.131,2.382,1.189,0.000
